funcid,dim,milestone,error
1,10,1,5.420793e+09
1,10,2,3.167039e+09
1,10,3,2.982803e+09
1,10,5,2.775703e+09
1,10,10,1.635053e+09
1,10,20,6.291302e+08
1,10,30,1.104452e+08
1,10,40,1.183133e+07
1,10,50,4.575852e+05
1,10,60,2.840647e+04
1,10,70,2.646665e+03
1,10,80,9.321099e+02
1,10,90,5.178349e+02
1,10,100,4.897132e+02
1,10,1,6.003444e+09
1,10,2,5.587360e+09
1,10,3,4.120779e+09
1,10,5,2.395293e+09
1,10,10,8.039808e+08
1,10,20,2.059463e+08
1,10,30,2.575861e+07
1,10,1,2.563455e+09
1,10,2,1.897188e+09
1,10,3,1.704099e+09
1,10,5,1.580745e+09
1,10,10,7.202340e+08
1,10,20,4.370210e+07
1,10,30,4.704571e+06
1,10,40,2.694270e+05
1,10,1,6.295268e+09
1,10,2,3.055224e+09
1,10,3,2.755283e+09
1,10,5,2.055585e+09
1,10,10,2.083275e+08
1,10,20,4.328671e+07
1,10,30,4.619087e+06
1,10,1,1.724731e+09
1,10,2,1.644403e+09
1,10,3,1.559365e+09
1,10,5,1.525742e+09
1,10,10,5.265016e+08
1,10,20,8.016393e+07
1,10,30,5.362426e+06
1,10,40,3.190847e+05
1,10,1,4.393266e+09
1,10,2,3.734330e+09
1,10,3,2.382010e+09
1,10,5,2.078015e+09
1,10,10,9.537746e+08
1,10,20,1.099272e+08
1,10,30,1.804927e+06
1,10,40,2.819298e+04
1,10,50,2.004647e+03
1,10,60,3.058651e+02
1,10,70,6.280880e+01
1,10,80,4.593809e+01
1,10,90,4.318776e+01
1,10,100,4.200912e+01
1,10,1,2.959173e+09
1,10,2,2.855033e+09
1,10,3,2.551673e+09
1,10,5,1.766534e+09
1,10,10,1.038887e+09
1,10,20,2.288875e+08
1,10,30,1.582341e+07
1,10,40,2.740417e+05
1,10,50,3.328836e+04
1,10,60,3.679760e+03
1,10,70,1.090563e+02
1,10,80,4.409467e+01
1,10,90,1.189679e+01
1,10,100,5.709825e+00
1,10,1,3.763727e+09
1,10,2,3.381446e+09
1,10,3,3.062742e+09
1,10,5,2.922114e+09
1,10,10,1.334627e+09
1,10,20,2.145357e+08
1,10,30,1.220496e+07
1,10,40,3.325759e+05
1,10,50,1.039826e+04
1,10,60,1.008930e+03
1,10,70,1.333876e+02
1,10,80,5.842798e+01
1,10,90,1.837324e+01
1,10,100,7.713347e+00
1,10,1,1.721813e+09
1,10,2,1.203018e+09
1,10,3,1.132574e+09
1,10,5,8.824700e+08
1,10,10,3.281229e+08
1,10,20,4.857171e+06
1,10,30,8.061148e+04
1,10,40,2.551335e+04
1,10,50,3.112378e+03
1,10,60,6.762627e+02
1,10,70,4.692989e+02
1,10,80,4.375431e+02
1,10,90,4.368622e+02
1,10,100,4.364125e+02
1,10,1,4.293047e+09
1,10,2,2.675376e+09
1,10,3,1.510712e+09
1,10,5,8.596801e+08
1,10,10,6.887302e+08
1,10,20,4.002724e+07
1,10,30,1.885940e+06
1,10,40,2.982200e+05
1,10,50,1.852413e+04
1,10,60,1.187028e+02
1,10,70,2.291678e+01
1,10,80,7.752027e+00
1,10,90,6.415143e+00
1,10,100,6.108690e+00
1,10,1,4.639840e+09
1,10,2,4.376162e+09
1,10,3,3.853558e+09
1,10,5,3.547781e+09
1,10,10,1.801467e+09
1,10,20,2.532662e+08
1,10,30,1.172086e+07
1,10,40,3.410903e+05
1,10,50,2.769197e+04
1,10,60,1.274445e+03
1,10,70,9.634326e+01
1,10,80,3.257153e+01
1,10,90,2.176631e+01
1,10,100,1.676143e+01
1,10,1,5.205391e+09
1,10,2,3.586211e+09
1,10,3,1.564564e+09
1,10,5,1.351225e+09
1,10,10,9.452374e+08
1,10,20,8.460700e+07
1,10,30,5.578124e+06
1,10,40,3.331594e+05
1,10,50,1.440923e+04
1,10,60,1.882167e+03
1,10,70,8.297896e+02
