funcid,dim,milestone,error
4,10,1,2.488578e+02
4,10,2,1.892191e+02
4,10,3,1.537326e+02
4,10,5,1.330508e+02
4,10,10,8.503016e+01
4,10,20,2.828549e+01
4,10,30,1.196829e+01
4,10,40,3.425920e+00
4,10,50,1.062310e+00
4,10,60,2.947086e-01
4,10,70,1.032738e-01
4,10,80,9.023882e-03
4,10,90,4.025143e-03
4,10,100,2.380647e-03
4,10,1,3.863989e+02
4,10,2,1.735148e+02
4,10,3,1.712309e+02
4,10,5,1.308565e+02
4,10,10,6.563492e+01
4,10,1,5.646453e+02
4,10,2,3.831848e+02
4,10,3,3.658272e+02
4,10,5,3.037616e+02
4,10,10,7.670823e+01
4,10,20,2.318616e+01
4,10,30,1.020129e+01
4,10,40,8.165280e+00
4,10,50,7.621404e+00
4,10,60,7.546634e+00
4,10,70,7.391324e+00
4,10,80,7.308849e+00
4,10,90,7.213018e+00
4,10,100,7.090271e+00
4,10,1,1.926920e+02
4,10,2,1.897176e+02
4,10,3,1.598931e+02
4,10,5,1.335195e+02
4,10,10,1.193606e+02
4,10,20,6.351553e+01
4,10,30,2.136054e+01
4,10,40,8.354107e+00
4,10,50,7.207367e+00
4,10,60,7.091637e+00
4,10,70,6.977664e+00
4,10,80,6.876780e+00
4,10,90,6.762323e+00
4,10,100,6.659965e+00
4,10,1,4.654873e+02
4,10,2,3.625521e+02
4,10,3,3.434875e+02
4,10,5,1.869061e+02
4,10,10,7.734854e+01
4,10,20,2.077311e+01
4,10,30,8.011951e+00
4,10,40,3.973796e+00
4,10,50,3.721753e+00
4,10,60,3.647907e+00
4,10,1,2.536623e+02
4,10,2,2.179104e+02
4,10,3,1.226460e+02
4,10,5,1.036576e+02
4,10,10,8.104232e+01
4,10,1,2.385146e+02
4,10,2,2.306922e+02
4,10,3,2.285609e+02
4,10,5,1.989443e+02
4,10,10,1.113158e+02
4,10,20,6.395446e+01
4,10,1,2.475695e+02
4,10,2,1.936337e+02
4,10,3,1.897311e+02
4,10,5,1.419117e+02
4,10,10,8.478426e+01
4,10,20,3.446001e+01
4,10,30,8.566472e+00
4,10,40,1.934525e+00
4,10,50,8.932649e-01
4,10,60,4.596057e-01
4,10,70,3.506272e-01
4,10,80,3.056674e-01
4,10,90,2.966133e-01
4,10,100,2.904477e-01
4,10,1,2.475695e+02
4,10,2,1.936337e+02
4,10,3,1.897311e+02
4,10,5,1.419117e+02
4,10,10,7.989722e+01
4,10,20,2.451263e+01
4,10,30,1.001733e+01
4,10,40,5.000515e+00
4,10,50,3.030456e+00
4,10,60,2.829858e+00
4,10,70,2.627631e+00
4,10,80,2.565880e+00
4,10,90,2.451411e+00
4,10,100,2.400218e+00
4,10,1,2.475695e+02
4,10,2,1.936337e+02
4,10,3,1.897311e+02
4,10,5,1.419117e+02
4,10,10,5.770465e+01
4,10,20,2.277278e+01
4,10,30,1.163557e+01
4,10,40,3.853894e+00
4,10,50,3.011062e+00
4,10,60,2.861026e+00
4,10,70,2.819836e+00
4,10,80,2.748322e+00
4,10,90,2.688577e+00
4,10,100,2.671767e+00
4,10,1,2.475695e+02
4,10,2,1.936337e+02
4,10,3,1.897311e+02
4,10,5,1.419117e+02
4,10,10,5.770465e+01
4,10,20,2.277278e+01
4,10,30,1.163557e+01
4,10,40,3.853894e+00
4,10,50,3.011062e+00
4,10,60,2.861026e+00
4,10,70,2.819836e+00
4,10,80,2.748322e+00
4,10,90,2.688577e+00
4,10,100,2.671767e+00
4,10,1,2.475695e+02
4,10,2,1.936337e+02
4,10,3,1.897311e+02
4,10,5,1.419117e+02
4,10,10,9.514302e+01
4,10,20,3.196832e+01
4,10,30,1.462082e+01
4,10,40,8.993555e+00
4,10,50,7.445153e+00
4,10,60,4.370729e+00
4,10,70,2.990601e+00
4,10,80,2.985705e+00
4,10,90,2.796728e+00
4,10,100,2.760668e+00
4,10,1,2.475695e+02
4,10,2,1.936337e+02
4,10,3,1.897311e+02
4,10,5,1.419117e+02
4,10,10,5.770465e+01
4,10,20,2.277278e+01
4,10,30,1.163557e+01
4,10,40,3.853894e+00
4,10,50,3.011062e+00
4,10,60,2.861026e+00
4,10,70,2.819836e+00
4,10,80,2.748322e+00
4,10,90,2.688577e+00
4,10,100,2.671767e+00
4,10,1,3.312610e+02
4,10,2,3.219119e+02
4,10,3,2.958874e+02
