funcid,dim,milestone,error
10,10,1,2.479686e+03
10,10,2,2.138754e+03
10,10,3,2.107498e+03
10,10,5,1.716031e+03
10,10,10,1.625411e+03
10,10,20,1.352415e+03
10,10,30,1.349021e+03
10,10,40,1.348883e+03
10,10,50,1.348874e+03
10,10,60,1.348872e+03
10,10,70,1.348872e+03
10,10,80,1.348872e+03
10,10,90,1.348872e+03
10,10,100,1.348872e+03
10,10,1,1.487106e+03
10,10,2,1.207812e+03
10,10,3,1.066485e+03
10,10,5,1.043499e+03
10,10,10,1.024787e+03
10,10,20,1.013249e+03
10,10,30,1.012809e+03
10,10,40,1.012153e+03
10,10,50,1.012005e+03
10,10,60,1.011926e+03
10,10,70,1.011920e+03
10,10,80,1.011828e+03
10,10,90,1.011824e+03
10,10,100,1.011824e+03
10,10,1,2.032616e+03
10,10,2,1.908142e+03
10,10,3,1.853796e+03
10,10,5,1.841667e+03
10,10,10,1.385845e+03
10,10,20,1.193595e+03
10,10,30,1.182999e+03
10,10,40,1.181882e+03
10,10,50,1.181566e+03
10,10,60,1.181527e+03
10,10,70,1.181523e+03
10,10,80,1.181523e+03
10,10,90,1.181523e+03
10,10,100,1.181523e+03
10,10,1,1.787464e+03
10,10,2,1.364571e+03
10,10,3,1.294415e+03
10,10,5,1.127859e+03
10,10,10,1.054962e+03
10,10,20,1.026681e+03
10,10,30,1.025667e+03
10,10,40,1.025638e+03
10,10,50,1.025637e+03
10,10,60,1.025636e+03
10,10,70,1.025636e+03
10,10,80,1.025636e+03
10,10,90,1.025636e+03
10,10,100,1.025636e+03
10,10,1,1.787464e+03
10,10,2,1.364571e+03
10,10,3,1.294415e+03
10,10,5,1.110056e+03
10,10,10,1.053636e+03
10,10,20,1.027936e+03
10,10,30,9.743679e+02
10,10,40,7.293280e+02
10,10,50,6.741912e+02
10,10,60,6.729123e+02
10,10,70,6.718643e+02
10,10,80,6.717576e+02
10,10,90,6.717545e+02
10,10,100,6.717538e+02
10,10,1,1.787464e+03
10,10,2,1.364571e+03
10,10,3,1.294415e+03
10,10,5,1.127859e+03
10,10,10,1.041218e+03
10,10,20,1.027493e+03
10,10,30,1.025809e+03
10,10,40,1.025668e+03
10,10,50,1.025643e+03
10,10,60,1.025642e+03
10,10,70,1.025639e+03
10,10,80,1.025638e+03
10,10,90,1.025637e+03
10,10,100,1.025637e+03
10,10,1,1.787464e+03
10,10,2,1.364571e+03
10,10,3,1.294415e+03
10,10,5,1.141122e+03
10,10,10,1.031703e+03
10,10,20,1.026212e+03
10,10,30,1.025707e+03
10,10,40,9.584459e+02
10,10,50,6.941189e+02
10,10,60,6.771242e+02
10,10,70,6.733775e+02
10,10,80,6.719325e+02
10,10,90,6.719049e+02
10,10,100,6.718150e+02
10,10,1,1.787464e+03
10,10,2,1.364571e+03
10,10,3,1.294415e+03
10,10,5,1.204515e+03
10,10,10,1.122640e+03
10,10,20,1.041598e+03
10,10,30,1.028587e+03
10,10,40,1.026485e+03
10,10,50,1.025706e+03
10,10,60,1.025686e+03
10,10,70,1.025662e+03
10,10,80,1.025662e+03
10,10,90,1.025659e+03
10,10,100,1.025658e+03
10,10,1,1.787464e+03
10,10,2,1.364571e+03
10,10,3,1.294415e+03
10,10,5,1.127859e+03
10,10,10,1.041218e+03
10,10,20,1.027493e+03
10,10,30,1.025809e+03
10,10,40,1.025668e+03
10,10,50,1.025643e+03
10,10,60,1.025642e+03
10,10,70,1.025639e+03
10,10,80,1.025638e+03
10,10,90,1.025637e+03
10,10,100,1.025637e+03
10,10,1,1.787464e+03
10,10,2,1.364571e+03
10,10,3,1.294415e+03
10,10,5,1.283055e+03
10,10,10,1.283055e+03
10,10,20,1.265015e+03
10,10,30,1.257112e+03
10,10,40,1.257112e+03
10,10,50,1.257057e+03
10,10,60,1.250677e+03
10,10,70,1.244069e+03
10,10,80,1.242862e+03
10,10,90,1.242862e+03
10,10,100,1.242862e+03
10,10,1,1.787464e+03
10,10,2,1.364571e+03
10,10,3,1.294415e+03
10,10,5,1.127859e+03
10,10,10,1.041218e+03
10,10,20,1.027493e+03
10,10,30,1.025809e+03
10,10,40,1.025668e+03
10,10,50,1.025643e+03
10,10,60,1.025642e+03
10,10,70,1.025639e+03
10,10,80,1.025638e+03
10,10,90,1.025637e+03
10,10,100,1.025637e+03
