funcid,dim,milestone,error
23,10,1,4.669398e+02
23,10,2,4.054309e+02
23,10,3,4.011606e+02
23,10,5,3.936349e+02
23,10,10,3.863998e+02
23,10,20,3.790052e+02
23,10,30,3.614108e+02
23,10,40,3.578639e+02
23,10,50,3.567010e+02
23,10,60,3.471314e+02
23,10,70,3.451565e+02
23,10,80,3.432709e+02
23,10,90,3.420041e+02
23,10,100,3.411999e+02
23,10,1,4.170700e+02
23,10,2,4.046191e+02
23,10,3,4.040005e+02
23,10,5,4.008645e+02
23,10,10,3.874926e+02
23,10,20,3.813746e+02
23,10,30,3.802917e+02
23,10,40,3.801672e+02
23,10,50,3.792863e+02
23,10,60,3.787551e+02
23,10,70,3.783449e+02
23,10,80,3.780150e+02
23,10,90,3.780112e+02
23,10,100,3.780111e+02
23,10,1,4.170700e+02
23,10,2,4.046191e+02
23,10,3,4.040005e+02
23,10,5,3.979821e+02
23,10,10,3.827979e+02
23,10,20,3.789856e+02
23,10,30,3.776005e+02
23,10,40,3.774919e+02
23,10,50,3.706489e+02
23,10,60,3.697395e+02
23,10,70,3.648434e+02
23,10,80,3.633166e+02
23,10,90,3.624143e+02
23,10,100,3.609275e+02
