funcid,dim,milestone,error
30,10,1,2.705105e+07
30,10,2,2.637430e+07
30,10,3,1.389665e+07
30,10,5,2.096605e+06
30,10,10,3.484049e+05
30,10,20,1.099906e+05
30,10,30,1.026714e+05
30,10,40,9.896399e+04
30,10,50,9.494602e+04
30,10,60,9.283942e+04
30,10,70,8.640677e+04
30,10,80,8.193411e+04
30,10,90,7.591691e+04
30,10,100,7.512006e+04
30,10,1,2.645134e+07
30,10,2,2.130645e+07
30,10,3,2.060637e+07
30,10,5,2.009575e+07
30,10,10,2.887857e+06
30,10,20,1.608859e+06
30,10,30,1.125117e+06
30,10,40,9.946072e+05
30,10,50,9.439588e+05
30,10,60,8.435780e+05
30,10,70,8.045248e+05
30,10,80,6.483421e+05
30,10,90,4.657955e+05
30,10,100,4.566744e+05
30,10,1,2.645134e+07
30,10,2,2.130645e+07
30,10,3,1.661930e+07
30,10,5,1.439019e+07
30,10,10,2.770273e+06
30,10,20,1.375310e+06
30,10,30,9.416912e+05
30,10,40,8.833992e+05
30,10,50,8.425703e+05
30,10,60,7.616595e+05
30,10,70,7.260322e+05
30,10,80,5.079982e+05
30,10,90,3.850008e+05
30,10,100,3.734527e+05
