funcid,dim,milestone,error
3,10,1,1.163356e+04
3,10,2,6.630184e+03
3,10,3,4.860302e+03
3,10,5,2.477808e+03
3,10,10,1.835986e+03
3,10,20,1.233518e+03
3,10,30,6.224666e+02
3,10,40,2.641150e+02
3,10,50,1.113692e+02
3,10,60,6.542025e+01
3,10,70,3.046265e+01
3,10,80,1.639638e+01
3,10,90,1.249728e+01
3,10,100,7.064827e+00
3,10,1,1.621107e+04
3,10,2,1.341472e+04
3,10,3,1.136503e+04
3,10,5,4.406961e+03
3,10,10,3.182863e+03
3,10,20,1.992402e+03
3,10,30,1.368273e+03
3,10,40,5.249312e+02
3,10,50,3.658932e+02
3,10,60,1.487829e+02
3,10,70,4.421656e+01
3,10,80,2.166119e+01
3,10,90,7.938335e+00
3,10,100,5.083129e+00
3,10,1,1.386020e+04
3,10,2,5.594325e+03
3,10,3,4.469162e+03
3,10,5,3.181964e+03
3,10,10,2.143537e+03
3,10,20,1.541810e+03
3,10,30,1.112698e+03
3,10,40,8.683530e+02
3,10,50,6.127829e+02
3,10,60,4.147254e+02
3,10,70,1.329652e+02
3,10,80,4.883466e+01
3,10,90,3.533255e+01
3,10,100,2.243747e+01
3,10,1,1.574619e+04
3,10,2,1.190675e+04
3,10,3,9.989125e+03
3,10,5,8.449531e+03
3,10,10,4.449960e+03
3,10,20,2.663394e+03
3,10,30,1.818501e+03
3,10,40,1.174714e+03
3,10,50,8.669239e+02
3,10,60,6.947227e+02
3,10,70,4.247800e+02
3,10,80,1.398491e+02
3,10,90,4.853561e+01
3,10,100,2.216310e+01
3,10,1,7.718719e+03
3,10,2,7.290115e+03
3,10,3,5.248777e+03
3,10,5,3.903013e+03
3,10,10,2.503257e+03
3,10,20,1.737918e+03
3,10,30,1.258983e+03
3,10,40,6.188805e+02
3,10,50,2.753106e+02
3,10,60,1.956369e+02
3,10,70,1.344539e+02
3,10,80,9.849305e+01
3,10,90,4.617861e+01
3,10,100,1.836594e+01
3,10,1,2.172773e+04
3,10,2,1.435061e+04
3,10,3,1.348629e+04
3,10,5,6.152615e+03
3,10,10,4.548265e+03
3,10,20,2.643475e+03
3,10,30,1.339223e+03
3,10,40,9.321671e+02
3,10,50,5.734951e+02
3,10,60,3.664531e+02
3,10,70,1.490303e+02
3,10,80,8.364571e+01
3,10,90,2.761910e+01
3,10,100,1.778623e+01
3,10,1,8.045161e+03
3,10,2,5.620679e+03
3,10,3,5.200179e+03
3,10,5,3.683043e+03
3,10,10,2.565108e+03
3,10,20,1.206520e+03
3,10,30,7.898073e+02
3,10,40,5.167870e+02
3,10,1,2.337519e+04
3,10,2,1.320303e+04
3,10,3,9.683960e+03
3,10,5,4.054156e+03
3,10,10,2.689113e+03
3,10,20,1.674716e+03
3,10,30,9.490807e+02
3,10,40,5.971988e+02
3,10,50,4.443925e+02
3,10,60,2.213502e+02
3,10,70,1.274485e+02
3,10,80,8.759170e+01
3,10,90,3.420031e+01
3,10,100,7.212077e+00
3,10,1,1.485484e+04
3,10,2,1.134617e+04
3,10,3,1.056981e+04
3,10,5,8.051837e+03
3,10,10,4.328794e+03
3,10,20,1.872519e+03
3,10,30,1.281727e+03
3,10,40,5.853081e+02
3,10,50,3.775870e+02
3,10,60,1.847078e+02
3,10,70,1.097861e+02
3,10,80,3.259102e+01
3,10,90,1.459775e+01
3,10,100,6.413724e+00
3,10,1,1.485484e+04
3,10,2,1.134617e+04
3,10,3,1.056981e+04
3,10,5,8.051837e+03
3,10,10,4.328794e+03
3,10,20,1.872519e+03
3,10,30,1.281727e+03
3,10,40,5.714501e+02
3,10,50,3.752258e+02
3,10,60,1.815089e+02
3,10,70,1.277899e+02
3,10,80,8.818768e+01
3,10,90,6.510948e+01
3,10,100,1.759930e+01
3,10,1,1.485484e+04
3,10,2,1.134617e+04
3,10,3,1.056981e+04
3,10,5,8.051837e+03
3,10,10,4.328794e+03
3,10,20,1.872519e+03
3,10,30,1.281727e+03
3,10,40,9.358316e+02
3,10,50,8.190296e+02
3,10,60,3.499769e+02
3,10,70,2.434991e+02
3,10,80,1.788115e+02
3,10,90,1.515529e+02
3,10,100,8.211682e+01
3,10,1,1.485484e+04
3,10,2,1.134617e+04
3,10,3,1.056981e+04
3,10,5,8.051837e+03
3,10,10,4.328794e+03
3,10,20,1.872519e+03
3,10,30,1.281727e+03
3,10,40,9.358316e+02
3,10,50,8.190296e+02
3,10,60,3.499769e+02
3,10,70,2.434991e+02
3,10,80,1.788115e+02
3,10,90,1.515529e+02
3,10,100,8.211682e+01
3,10,1,1.485484e+04
3,10,2,1.134617e+04
3,10,3,1.056981e+04
3,10,5,8.051837e+03
3,10,10,4.328794e+03
3,10,20,1.872519e+03
3,10,30,1.281727e+03
3,10,40,9.358316e+02
3,10,50,8.190296e+02
3,10,60,5.287886e+02
3,10,70,3.785834e+02
3,10,80,2.777483e+02
3,10,90,1.941049e+02
3,10,100,1.321848e+02
3,10,1,1.485484e+04
3,10,2,1.134617e+04
3,10,3,1.056981e+04
3,10,5,8.051837e+03
3,10,10,4.328794e+03
3,10,20,1.872519e+03
3,10,30,1.281727e+03
3,10,40,9.358316e+02
3,10,50,8.190296e+02
3,10,60,3.499769e+02
3,10,70,2.434991e+02
3,10,80,1.788115e+02
3,10,90,1.515529e+02
3,10,100,8.211682e+01
3,10,1,1.622353e+04
3,10,2,1.317096e+04
3,10,3,1.178312e+04
3,10,5,8.313277e+03
3,10,10,4.700363e+03
3,10,20,1.453117e+03
3,10,30,1.015218e+03
3,10,40,6.917611e+02
3,10,50,4.272448e+02
3,10,60,3.728789e+02
3,10,70,2.701958e+02
3,10,80,2.233553e+02
3,10,90,1.664302e+02
3,10,100,1.254488e+02
3,10,1,1.485484e+04
3,10,2,1.134617e+04
3,10,3,1.056981e+04
3,10,5,8.051837e+03
3,10,10,4.328794e+03
3,10,20,1.872519e+03
3,10,30,1.281727e+03
3,10,40,9.358316e+02
3,10,50,8.190296e+02
3,10,60,5.287886e+02
3,10,70,3.785834e+02
3,10,80,2.777483e+02
3,10,90,1.941049e+02
3,10,100,1.321848e+02
3,10,1,1.485484e+04
3,10,2,1.134617e+04
3,10,3,1.056981e+04
3,10,5,8.051837e+03
3,10,10,4.328794e+03
3,10,20,1.872519e+03
3,10,30,1.281727e+03
3,10,40,9.358316e+02
3,10,50,8.190296e+02
3,10,60,5.287886e+02
3,10,70,3.785834e+02
3,10,80,2.777483e+02
3,10,90,1.941049e+02
3,10,100,1.321848e+02
3,10,1,1.485484e+04
3,10,2,1.134617e+04
3,10,3,1.056981e+04
3,10,5,8.051837e+03
3,10,10,4.328794e+03
3,10,20,1.872519e+03
3,10,30,1.281727e+03
3,10,40,9.358316e+02
3,10,50,8.190296e+02
3,10,60,5.287886e+02
3,10,70,3.785834e+02
3,10,80,2.777483e+02
3,10,90,1.941049e+02
3,10,100,1.321848e+02
3,10,1,1.485484e+04
3,10,2,1.134617e+04
3,10,3,1.056981e+04
3,10,5,8.051837e+03
3,10,10,4.328794e+03
3,10,20,1.872519e+03
3,10,30,1.281727e+03
3,10,40,9.358316e+02
3,10,50,8.190296e+02
3,10,60,5.287886e+02
3,10,70,3.785834e+02
3,10,80,2.777483e+02
3,10,90,1.941049e+02
3,10,100,1.321848e+02
3,10,1,1.485484e+04
3,10,2,1.134617e+04
3,10,3,1.056981e+04
3,10,5,8.051837e+03
3,10,10,4.328794e+03
3,10,20,1.872519e+03
3,10,30,1.281727e+03
3,10,40,9.358316e+02
3,10,50,8.190296e+02
3,10,60,5.287886e+02
3,10,70,3.785834e+02
3,10,80,2.777483e+02
3,10,90,1.941049e+02
3,10,100,1.321848e+02
