funcid,dim,milestone,error
8,10,1,4.667280e+01
8,10,2,4.435143e+01
8,10,3,4.310632e+01
8,10,5,4.140860e+01
8,10,10,1.307818e+01
8,10,20,1.228001e+01
8,10,30,1.198397e+01
8,10,40,1.193955e+01
8,10,50,1.193951e+01
8,10,60,1.193950e+01
8,10,70,1.193950e+01
8,10,80,1.193950e+01
8,10,90,1.193950e+01
8,10,100,1.193950e+01
8,10,1,4.273137e+01
8,10,2,3.946303e+01
8,10,3,3.053403e+01
8,10,5,2.449388e+01
8,10,10,1.797161e+01
8,10,20,1.614422e+01
8,10,30,1.594541e+01
8,10,40,1.591957e+01
8,10,50,1.591936e+01
8,10,60,1.591933e+01
8,10,70,1.591933e+01
8,10,80,1.591933e+01
8,10,90,1.591933e+01
8,10,100,1.378207e+01
8,10,1,2.266249e+01
8,10,2,2.189229e+01
8,10,3,2.182330e+01
8,10,5,2.128926e+01
8,10,10,2.037919e+01
8,10,20,1.993500e+01
8,10,30,1.990508e+01
8,10,40,1.989992e+01
8,10,50,1.989923e+01
8,10,60,1.989918e+01
8,10,70,1.989917e+01
8,10,80,1.989916e+01
8,10,90,1.989916e+01
8,10,100,1.989916e+01
8,10,1,4.213066e+01
8,10,2,3.090815e+01
8,10,3,2.376124e+01
8,10,5,1.987249e+01
8,10,10,1.746128e+01
8,10,20,1.696734e+01
8,10,30,1.691671e+01
8,10,40,1.691433e+01
8,10,50,1.691427e+01
8,10,60,1.691427e+01
8,10,70,1.691427e+01
8,10,80,1.691427e+01
8,10,90,1.691427e+01
8,10,100,1.691427e+01
8,10,1,4.213066e+01
8,10,2,3.090815e+01
8,10,3,2.376124e+01
8,10,5,1.987249e+01
8,10,10,1.746128e+01
8,10,20,1.698076e+01
8,10,30,1.691999e+01
8,10,40,1.691431e+01
8,10,50,1.691428e+01
8,10,60,1.691427e+01
8,10,70,1.691427e+01
8,10,80,1.691427e+01
8,10,90,1.691427e+01
8,10,100,1.691427e+01
8,10,1,4.213066e+01
8,10,2,3.090815e+01
8,10,3,2.376124e+01
8,10,5,1.987249e+01
8,10,10,1.746128e+01
8,10,20,1.698076e+01
8,10,30,1.691770e+01
8,10,40,1.691457e+01
8,10,1,4.213066e+01
8,10,2,3.090815e+01
8,10,3,2.376124e+01
8,10,5,1.987249e+01
8,10,10,1.746128e+01
8,10,20,1.698076e+01
8,10,30,1.691770e+01
8,10,40,1.691455e+01
8,10,50,1.691433e+01
8,10,60,1.691428e+01
8,10,70,1.691427e+01
8,10,80,1.691427e+01
8,10,90,1.691427e+01
8,10,100,1.691427e+01
8,10,1,4.213066e+01
8,10,2,3.090815e+01
8,10,3,2.376124e+01
8,10,5,1.987249e+01
8,10,10,1.746128e+01
8,10,20,1.698076e+01
8,10,30,1.691770e+01
8,10,40,1.691457e+01
8,10,50,1.691427e+01
8,10,60,1.691427e+01
8,10,70,1.691427e+01
8,10,80,1.691427e+01
8,10,90,1.691427e+01
8,10,100,1.691427e+01
8,10,1,4.213066e+01
8,10,2,3.090815e+01
8,10,3,2.376124e+01
8,10,5,1.987249e+01
8,10,10,1.746128e+01
8,10,20,1.698076e+01
8,10,30,1.691770e+01
8,10,40,1.691456e+01
8,10,50,1.691432e+01
8,10,60,1.691429e+01
8,10,70,1.691427e+01
8,10,80,1.691427e+01
8,10,90,1.691427e+01
8,10,100,1.691427e+01
8,10,1,4.213066e+01
8,10,2,3.090815e+01
8,10,3,2.376124e+01
8,10,5,1.987249e+01
8,10,10,1.746128e+01
8,10,20,1.698076e+01
8,10,30,1.691770e+01
8,10,40,1.691455e+01
8,10,50,1.691433e+01
8,10,60,1.691428e+01
8,10,70,1.691427e+01
8,10,80,1.691427e+01
8,10,90,1.691427e+01
8,10,100,1.691427e+01
8,10,1,4.213066e+01
8,10,2,3.090815e+01
8,10,3,2.376124e+01
8,10,5,1.987249e+01
8,10,10,1.746128e+01
8,10,20,1.698076e+01
8,10,30,1.691770e+01
8,10,40,1.691480e+01
8,10,50,1.691440e+01
8,10,60,1.691429e+01
8,10,70,1.691427e+01
8,10,80,1.691427e+01
8,10,90,1.691427e+01
8,10,100,1.691427e+01
8,10,1,4.213066e+01
8,10,2,3.090815e+01
8,10,3,2.376124e+01
8,10,5,1.987249e+01
8,10,10,1.746128e+01
8,10,20,1.698076e+01
8,10,30,1.691770e+01
8,10,40,1.691455e+01
8,10,50,1.691433e+01
8,10,60,1.691428e+01
8,10,70,1.691427e+01
8,10,80,1.691427e+01
8,10,90,1.691427e+01
8,10,100,1.691427e+01
