funcid,dim,milestone,error
15,10,1,6.906808e+03
15,10,2,6.894504e+03
15,10,3,6.894464e+03
15,10,5,6.685786e+03
15,10,10,5.924158e+03
15,10,20,5.729340e+03
15,10,30,5.061707e+03
15,10,40,1.865603e+03
15,10,50,1.848224e+03
15,10,60,1.672144e+03
15,10,70,1.299143e+03
15,10,80,1.214821e+03
15,10,90,1.064229e+03
15,10,100,1.055234e+03
15,10,1,1.616508e+03
15,10,2,1.616156e+03
15,10,3,1.612232e+03
15,10,5,1.574841e+03
15,10,10,5.757654e+02
15,10,20,5.444567e+02
15,10,30,2.496539e+02
15,10,40,1.884513e+02
15,10,50,1.328939e+02
15,10,60,1.327839e+02
15,10,70,1.327830e+02
15,10,80,1.222894e+02
15,10,90,1.205109e+02
15,10,100,1.204912e+02
15,10,1,6.763847e+04
15,10,2,6.719329e+04
15,10,3,3.114437e+03
15,10,5,3.112292e+03
15,10,10,2.020656e+03
15,10,20,1.130706e+03
15,10,30,1.103547e+03
15,10,40,8.096319e+02
15,10,50,7.952403e+02
15,10,60,6.795169e+02
15,10,70,5.211699e+02
15,10,80,5.179634e+02
15,10,90,5.155072e+02
15,10,100,4.666834e+02
15,10,1,6.763847e+04
15,10,2,6.719329e+04
15,10,3,3.114437e+03
15,10,5,3.110918e+03
15,10,10,7.674674e+02
15,10,20,6.974209e+02
15,10,30,5.901217e+02
15,10,40,5.825494e+02
15,10,50,5.811050e+02
15,10,60,5.804277e+02
15,10,70,5.255190e+02
15,10,80,5.250517e+02
15,10,90,5.161485e+02
15,10,100,5.099916e+02
15,10,1,6.763847e+04
15,10,2,6.719329e+04
15,10,3,3.114437e+03
15,10,5,3.110918e+03
15,10,10,7.674680e+02
15,10,20,6.998459e+02
15,10,30,6.276904e+02
15,10,40,6.169806e+02
15,10,50,4.975037e+02
15,10,60,4.857034e+02
15,10,70,4.850183e+02
15,10,80,4.823021e+02
15,10,90,4.819610e+02
15,10,100,4.819415e+02
15,10,1,6.763847e+04
15,10,2,6.719329e+04
15,10,3,3.114437e+03
15,10,5,1.724648e+03
15,10,10,1.569779e+03
15,10,20,8.076472e+02
15,10,30,7.571696e+02
15,10,40,7.134887e+02
15,10,50,7.130309e+02
15,10,60,7.127336e+02
15,10,70,7.004638e+02
15,10,80,7.003141e+02
15,10,90,7.001616e+02
15,10,100,6.999679e+02
