funcid,dim,milestone,error
20,10,1,2.546640e+02
20,10,2,2.519601e+02
20,10,3,2.510909e+02
20,10,5,2.504858e+02
20,10,10,2.492634e+02
20,10,20,2.475062e+02
20,10,30,2.449928e+02
20,10,40,2.445000e+02
20,10,50,2.427872e+02
20,10,60,2.425731e+02
20,10,70,2.425633e+02
20,10,80,2.425600e+02
20,10,90,2.424450e+02
20,10,100,2.424126e+02
20,10,1,2.451641e+02
20,10,2,2.420550e+02
20,10,3,2.420383e+02
20,10,5,2.143759e+02
20,10,10,2.071472e+02
20,10,20,1.498739e+02
20,10,30,9.748379e+01
20,10,40,9.729794e+01
20,10,50,9.727513e+01
20,10,60,9.726232e+01
20,10,70,9.710039e+01
20,10,80,9.709233e+01
20,10,90,9.539099e+01
20,10,100,9.537520e+01
20,10,1,2.451641e+02
20,10,2,2.420550e+02
20,10,3,2.402591e+02
20,10,5,2.388713e+02
20,10,10,2.194286e+02
20,10,20,4.749823e+01
20,10,30,3.911633e+01
20,10,40,3.621191e+01
20,10,50,3.617929e+01
20,10,60,3.583544e+01
20,10,70,3.502290e+01
20,10,80,3.501799e+01
20,10,90,3.500735e+01
20,10,100,3.494645e+01
