funcid,dim,milestone,error
9,10,1,3.252144e+02
9,10,2,2.762079e+02
9,10,3,2.538336e+02
9,10,5,2.419540e+02
9,10,10,2.383421e+02
9,10,20,2.364845e+02
9,10,30,2.362118e+02
9,10,40,2.361891e+02
9,10,50,2.361820e+02
9,10,60,2.361745e+02
9,10,70,2.361637e+02
9,10,80,2.361604e+02
9,10,90,2.361576e+02
9,10,100,2.361532e+02
9,10,1,5.992168e+02
9,10,2,4.842130e+02
9,10,3,4.476550e+02
9,10,5,4.314464e+02
9,10,10,1.224442e+02
9,10,20,1.172242e+02
9,10,30,2.953753e+01
9,10,40,2.836059e+01
9,10,50,2.756522e+01
9,10,60,2.242225e+01
9,10,70,2.081922e+01
9,10,80,1.586921e+01
9,10,90,1.573121e+01
9,10,100,1.541399e+01
9,10,1,2.098602e+02
9,10,2,1.884635e+02
9,10,3,1.744827e+02
9,10,5,1.622931e+02
9,10,10,1.492376e+02
9,10,20,1.448707e+02
9,10,30,1.439215e+02
9,10,40,4.800267e+01
9,10,50,4.765141e+01
9,10,60,4.746113e+01
9,10,70,4.721063e+01
9,10,80,4.714111e+01
9,10,90,4.704703e+01
9,10,100,4.689659e+01
9,10,1,5.445333e+02
9,10,2,4.491909e+02
9,10,3,4.163667e+02
9,10,5,4.052158e+02
9,10,10,3.981943e+02
9,10,20,1.906380e+02
9,10,30,1.046758e+02
9,10,40,9.931249e+01
9,10,50,9.666725e+01
9,10,60,9.492979e+01
9,10,70,9.384584e+01
9,10,80,9.367516e+01
9,10,90,9.362672e+01
9,10,100,9.361839e+01
9,10,1,5.445333e+02
9,10,2,4.491909e+02
9,10,3,4.163667e+02
9,10,5,4.052158e+02
9,10,10,3.988520e+02
9,10,20,3.940146e+02
9,10,30,3.930453e+02
9,10,40,1.254625e+02
9,10,50,7.116143e+01
9,10,60,6.921344e+01
9,10,70,6.814822e+01
9,10,80,5.617365e+01
9,10,90,2.509694e+01
9,10,100,2.105930e+01
9,10,1,5.445333e+02
9,10,2,4.491909e+02
9,10,3,4.163667e+02
9,10,5,4.052158e+02
9,10,10,3.988520e+02
9,10,20,3.940146e+02
9,10,30,3.927933e+02
9,10,40,1.325307e+02
9,10,50,1.234085e+02
9,10,60,1.225108e+02
9,10,70,1.224019e+02
9,10,80,1.223270e+02
9,10,90,1.222743e+02
9,10,100,1.222621e+02
9,10,1,5.445333e+02
9,10,2,4.491909e+02
9,10,3,4.163667e+02
9,10,5,4.065586e+02
9,10,10,3.965608e+02
9,10,20,2.307362e+02
9,10,30,2.268387e+02
9,10,40,2.257212e+02
9,10,50,2.254592e+02
9,10,60,2.254127e+02
9,10,70,2.253990e+02
9,10,80,2.253973e+02
9,10,90,2.253965e+02
9,10,100,2.253962e+02
9,10,1,5.445333e+02
9,10,2,4.491909e+02
9,10,3,4.163667e+02
9,10,5,4.052158e+02
9,10,10,3.975905e+02
9,10,20,3.937953e+02
9,10,30,3.928154e+02
9,10,40,3.926497e+02
9,10,50,3.926022e+02
9,10,60,3.925830e+02
9,10,70,3.925680e+02
9,10,80,8.809412e+01
9,10,90,8.591857e+01
9,10,100,8.542091e+01
9,10,1,5.445333e+02
9,10,2,4.491909e+02
9,10,3,4.163667e+02
9,10,5,4.052158e+02
9,10,10,3.988520e+02
9,10,20,3.940146e+02
9,10,30,3.927933e+02
9,10,40,1.325307e+02
9,10,50,1.234085e+02
9,10,60,1.225108e+02
9,10,70,1.224019e+02
9,10,80,1.223270e+02
9,10,90,1.222743e+02
9,10,100,1.222621e+02
9,10,1,5.445333e+02
9,10,2,4.491909e+02
9,10,3,4.163667e+02
9,10,5,4.052158e+02
9,10,10,4.014545e+02
9,10,20,3.941469e+02
9,10,30,3.932229e+02
9,10,40,1.666845e+02
9,10,50,8.647733e+01
9,10,60,8.359362e+01
9,10,70,8.230700e+01
9,10,80,8.186766e+01
9,10,90,8.168952e+01
9,10,100,8.157399e+01
9,10,1,5.445333e+02
9,10,2,4.491909e+02
9,10,3,4.163667e+02
9,10,5,4.052158e+02
9,10,10,3.988520e+02
9,10,20,3.940146e+02
9,10,30,3.927933e+02
9,10,40,1.325307e+02
9,10,50,1.234085e+02
9,10,60,1.225108e+02
9,10,70,1.224019e+02
9,10,80,1.223270e+02
9,10,90,1.222743e+02
9,10,100,1.222621e+02
