funcid,dim,milestone,error
18,10,1,1.203824e+07
18,10,2,6.785636e+05
18,10,3,5.163334e+05
18,10,5,5.540094e+04
18,10,10,1.386914e+03
18,10,20,1.298477e+03
18,10,30,1.298169e+03
18,10,40,1.297915e+03
18,10,50,1.296540e+03
18,10,60,1.272708e+03
18,10,70,1.272413e+03
18,10,80,1.272262e+03
18,10,90,1.271493e+03
18,10,100,1.271255e+03
18,10,1,1.045104e+05
18,10,2,9.965518e+04
18,10,3,9.658306e+04
18,10,5,1.563755e+04
18,10,10,1.563233e+04
18,10,20,1.560129e+04
18,10,30,1.557531e+04
18,10,40,1.556458e+04
18,10,50,1.555939e+04
18,10,60,1.554938e+04
18,10,70,1.553947e+04
18,10,80,1.552991e+04
18,10,90,1.550922e+04
18,10,100,1.545488e+04
18,10,1,1.045104e+05
18,10,2,9.965518e+04
18,10,3,9.658306e+04
18,10,5,1.563755e+04
18,10,10,1.563202e+04
18,10,20,1.562778e+04
18,10,30,1.561991e+04
18,10,40,1.560443e+04
18,10,50,1.556441e+04
18,10,60,1.553674e+04
18,10,70,1.551868e+04
18,10,80,1.550867e+04
18,10,90,1.550543e+04
18,10,100,1.548607e+04
18,10,1,1.045104e+05
18,10,2,9.965518e+04
18,10,3,4.448188e+04
18,10,5,1.545382e+04
18,10,10,1.544555e+04
18,10,20,1.430076e+04
18,10,30,1.429196e+04
18,10,40,1.426789e+04
18,10,50,1.424949e+04
18,10,60,1.424656e+04
18,10,70,1.423454e+04
18,10,80,1.422760e+04
18,10,90,1.420726e+04
18,10,100,1.419731e+04
