funcid,dim,milestone,error
19,10,1,5.879267e+04
19,10,2,5.864285e+04
19,10,3,5.835092e+04
19,10,5,5.425472e+04
19,10,10,1.040690e+04
19,10,20,2.614750e+03
19,10,30,1.260841e+03
19,10,40,5.532016e+02
19,10,50,5.179478e+02
19,10,60,4.337284e+01
19,10,70,4.337229e+01
19,10,80,4.331606e+01
19,10,90,4.330514e+01
19,10,100,4.330259e+01
19,10,1,1.514033e+04
19,10,2,1.509473e+04
19,10,3,1.454744e+04
19,10,5,1.369768e+04
19,10,10,1.332210e+04
19,10,20,1.284840e+04
19,10,30,1.156645e+04
19,10,40,1.045712e+04
19,10,1,1.514033e+04
19,10,2,1.509473e+04
19,10,3,1.454744e+04
19,10,5,1.369768e+04
19,10,10,1.332210e+04
19,10,20,1.182004e+04
19,10,30,1.159705e+04
19,10,40,1.095804e+04
19,10,50,7.925497e+03
19,10,60,5.547987e+03
19,10,70,5.547005e+03
19,10,80,5.442373e+03
19,10,90,1.103715e+03
19,10,100,1.079058e+03
19,10,1,1.514033e+04
19,10,2,1.509519e+04
19,10,3,1.494507e+04
19,10,5,1.415631e+04
19,10,10,1.346878e+04
19,10,20,9.251054e+03
19,10,30,9.046960e+03
19,10,40,8.851037e+03
19,10,50,4.531117e+03
19,10,60,4.527240e+03
19,10,70,4.497947e+03
19,10,80,1.489343e+03
19,10,90,1.275169e+03
19,10,100,5.310653e+02
