funcid,dim,milestone,error
27,10,1,5.858551e+02
27,10,2,5.780909e+02
27,10,3,5.773992e+02
27,10,5,5.773753e+02
27,10,10,5.259893e+02
27,10,20,4.467127e+02
27,10,30,4.432541e+02
27,10,40,4.195403e+02
27,10,50,4.061924e+02
27,10,60,4.055293e+02
27,10,70,4.055143e+02
27,10,80,4.055113e+02
27,10,90,4.055084e+02
27,10,100,4.055052e+02
27,10,1,5.739232e+02
27,10,2,5.703904e+02
27,10,3,5.165662e+02
27,10,5,4.986770e+02
27,10,10,4.815668e+02
27,10,20,4.415215e+02
27,10,30,4.341728e+02
27,10,40,4.333264e+02
27,10,50,4.321425e+02
27,10,60,4.321377e+02
27,10,70,4.318649e+02
27,10,80,4.313593e+02
27,10,90,4.313577e+02
27,10,100,4.313575e+02
27,10,1,5.739232e+02
27,10,2,5.703904e+02
27,10,3,5.446425e+02
27,10,5,5.331110e+02
27,10,10,5.188542e+02
27,10,20,4.864038e+02
27,10,30,4.586265e+02
27,10,40,4.290865e+02
27,10,50,4.205115e+02
27,10,60,4.156876e+02
27,10,70,4.153867e+02
27,10,80,4.119951e+02
27,10,90,4.109330e+02
27,10,100,4.103171e+02
