funcid,dim,milestone,error
7,10,1,5.969333e+01
7,10,2,4.663778e+01
7,10,3,4.447954e+01
7,10,5,4.353799e+01
7,10,10,4.282055e+01
7,10,20,4.277243e+01
7,10,30,4.276903e+01
7,10,40,4.276842e+01
7,10,50,4.276839e+01
7,10,60,4.276838e+01
7,10,70,4.276838e+01
7,10,80,4.276838e+01
7,10,90,4.276838e+01
7,10,100,4.276838e+01
7,10,1,6.024478e+01
7,10,2,4.224221e+01
7,10,3,3.749837e+01
7,10,5,3.474310e+01
7,10,10,3.359846e+01
7,10,20,3.310098e+01
7,10,30,3.306850e+01
7,10,40,3.306790e+01
7,10,50,3.306787e+01
7,10,60,3.306787e+01
7,10,70,3.306787e+01
7,10,80,3.306787e+01
7,10,90,3.306787e+01
7,10,100,3.306787e+01
7,10,1,8.194064e+01
7,10,2,6.652045e+01
7,10,3,5.155804e+01
7,10,5,4.476325e+01
7,10,10,4.100492e+01
7,10,20,3.987115e+01
7,10,30,3.987056e+01
7,10,40,3.987052e+01
7,10,50,3.987051e+01
7,10,60,3.987051e+01
7,10,70,3.987051e+01
7,10,80,3.987051e+01
7,10,90,3.987051e+01
7,10,100,3.987051e+01
7,10,1,7.209878e+01
7,10,2,6.041450e+01
7,10,3,5.963695e+01
7,10,5,5.819660e+01
7,10,10,5.806648e+01
7,10,20,5.803961e+01
7,10,30,5.803928e+01
7,10,40,5.803927e+01
7,10,50,5.803927e+01
7,10,60,5.803927e+01
7,10,70,5.803927e+01
7,10,80,5.803927e+01
7,10,90,5.803927e+01
7,10,100,5.803927e+01
7,10,1,7.209878e+01
7,10,2,6.041450e+01
7,10,3,5.963695e+01
7,10,5,5.819660e+01
7,10,10,5.806648e+01
7,10,20,5.804083e+01
7,10,30,5.803930e+01
7,10,40,5.803928e+01
7,10,50,5.803927e+01
7,10,60,5.803927e+01
7,10,70,5.803927e+01
7,10,80,5.803927e+01
7,10,90,5.803927e+01
7,10,100,5.803927e+01
7,10,1,7.209878e+01
7,10,2,6.041450e+01
7,10,3,5.963695e+01
7,10,5,5.819660e+01
7,10,10,5.806648e+01
7,10,20,5.804051e+01
7,10,30,5.803929e+01
7,10,40,5.803928e+01
7,10,50,5.803927e+01
7,10,60,5.803927e+01
7,10,70,5.803927e+01
7,10,80,5.803927e+01
7,10,90,5.803927e+01
7,10,100,5.803927e+01
7,10,1,7.209878e+01
7,10,2,6.041450e+01
7,10,3,5.963695e+01
7,10,5,5.819660e+01
7,10,10,5.806648e+01
7,10,20,5.804074e+01
7,10,30,5.803937e+01
7,10,40,5.803930e+01
7,10,50,5.803927e+01
7,10,60,5.803927e+01
7,10,70,5.803927e+01
7,10,80,5.803927e+01
7,10,90,5.803927e+01
7,10,100,5.803927e+01
7,10,1,7.209878e+01
7,10,2,6.041450e+01
7,10,3,5.963695e+01
7,10,5,5.819660e+01
7,10,10,5.806648e+01
7,10,20,5.804051e+01
7,10,30,5.803929e+01
7,10,40,5.803928e+01
7,10,50,5.803927e+01
7,10,60,5.803927e+01
7,10,70,5.803927e+01
7,10,80,5.803927e+01
7,10,90,5.803927e+01
7,10,100,5.803927e+01
7,10,1,7.209878e+01
7,10,2,6.041450e+01
7,10,3,5.963695e+01
7,10,5,5.819660e+01
7,10,10,5.806648e+01
7,10,20,5.804074e+01
7,10,30,5.803932e+01
7,10,40,5.803927e+01
7,10,50,5.803927e+01
7,10,60,5.803927e+01
7,10,70,5.803927e+01
7,10,80,5.803927e+01
7,10,90,5.803927e+01
7,10,100,5.803927e+01
7,10,1,7.209878e+01
7,10,2,6.041450e+01
7,10,3,5.963695e+01
7,10,5,5.819660e+01
7,10,10,5.806648e+01
7,10,20,5.804074e+01
7,10,30,5.803937e+01
7,10,40,5.803930e+01
7,10,50,5.803927e+01
7,10,60,5.803927e+01
7,10,70,5.803927e+01
7,10,80,5.803927e+01
7,10,90,5.803927e+01
7,10,100,5.803927e+01
7,10,1,7.209878e+01
7,10,2,6.041450e+01
7,10,3,5.963695e+01
7,10,5,5.819660e+01
7,10,10,5.806648e+01
7,10,20,5.804074e+01
7,10,30,5.803954e+01
7,10,40,5.803931e+01
7,10,50,5.803927e+01
7,10,60,5.803927e+01
7,10,70,5.803927e+01
7,10,80,5.803927e+01
7,10,90,5.803927e+01
7,10,100,5.803927e+01
7,10,1,7.209878e+01
7,10,2,6.041450e+01
7,10,3,5.963695e+01
7,10,5,5.819660e+01
7,10,10,5.806648e+01
7,10,20,5.804074e+01
7,10,30,5.803937e+01
7,10,40,5.803930e+01
7,10,50,5.803927e+01
7,10,60,5.803927e+01
7,10,70,5.803927e+01
7,10,80,5.803927e+01
7,10,90,5.803927e+01
7,10,100,5.803927e+01
