funcid,dim,milestone,error
5,10,1,8.635600e+01
5,10,2,8.581230e+01
5,10,3,8.530463e+01
5,10,5,8.059672e+01
5,10,10,7.186863e+01
5,10,20,7.067826e+01
5,10,30,7.065425e+01
5,10,40,7.064232e+01
5,10,50,7.064152e+01
5,10,60,7.064149e+01
5,10,70,4.899013e+01
5,10,80,4.785983e+01
5,10,90,4.776103e+01
5,10,100,4.775850e+01
5,10,1,5.404794e+01
5,10,2,5.404794e+01
5,10,3,4.468761e+01
5,10,5,3.751746e+01
5,10,10,2.496709e+01
5,10,20,2.297247e+01
5,10,30,2.288964e+01
5,10,40,2.288484e+01
5,10,50,2.288403e+01
5,10,60,2.288401e+01
5,10,70,2.288401e+01
5,10,80,2.288401e+01
5,10,90,2.288401e+01
5,10,100,2.288401e+01
5,10,1,7.651902e+01
5,10,2,7.003697e+01
5,10,3,6.573319e+01
5,10,5,5.764406e+01
5,10,10,4.677551e+01
5,10,20,4.389462e+01
5,10,30,4.379036e+01
5,10,40,4.377834e+01
5,10,50,4.377807e+01
5,10,60,4.377805e+01
5,10,70,4.377805e+01
5,10,80,4.377805e+01
5,10,90,4.377805e+01
5,10,100,4.377805e+01
5,10,1,7.016829e+01
5,10,2,6.596477e+01
5,10,3,6.348683e+01
5,10,5,5.674011e+01
5,10,10,5.303231e+01
5,10,20,4.756836e+01
5,10,30,4.581497e+01
5,10,40,4.149499e+01
5,10,50,3.885100e+01
5,10,60,3.880845e+01
5,10,70,3.880348e+01
5,10,80,3.880333e+01
5,10,90,3.880330e+01
5,10,100,3.880330e+01
5,10,1,7.016829e+01
5,10,2,6.596477e+01
5,10,3,6.348683e+01
5,10,5,5.674011e+01
5,10,10,5.316618e+01
5,10,20,4.578428e+01
5,10,30,4.576869e+01
5,10,40,4.576809e+01
5,10,50,4.576796e+01
5,10,60,4.526079e+01
5,10,70,3.942835e+01
5,10,80,3.883744e+01
5,10,90,3.880385e+01
5,10,100,3.880343e+01
5,10,1,7.016829e+01
5,10,2,6.596477e+01
5,10,3,6.348683e+01
5,10,5,5.674011e+01
5,10,1,7.016829e+01
5,10,2,6.596477e+01
5,10,3,6.348683e+01
5,10,5,5.674011e+01
5,10,10,5.298873e+01
5,10,20,5.275240e+01
5,10,30,5.273367e+01
5,10,40,5.273276e+01
5,10,50,5.273266e+01
5,10,60,5.273265e+01
5,10,70,2.992198e+01
5,10,80,1.337615e+01
5,10,90,1.303495e+01
5,10,100,1.254484e+01
5,10,1,7.016829e+01
5,10,2,6.596477e+01
5,10,3,6.348683e+01
5,10,5,5.674011e+01
5,10,10,5.307251e+01
5,10,20,5.274612e+01
5,10,30,5.273520e+01
5,10,40,4.782524e+01
5,10,50,4.595147e+01
5,10,60,4.581748e+01
5,10,70,4.579542e+01
5,10,80,4.578576e+01
5,10,90,4.577429e+01
5,10,100,4.576929e+01
5,10,1,7.016829e+01
5,10,2,6.596477e+01
5,10,3,6.348683e+01
5,10,5,5.674011e+01
5,10,10,5.298873e+01
5,10,20,5.275240e+01
5,10,30,5.273367e+01
5,10,40,5.273276e+01
5,10,50,5.273266e+01
5,10,60,5.273265e+01
5,10,70,2.992198e+01
5,10,80,1.337615e+01
5,10,90,1.303495e+01
5,10,100,1.254484e+01
5,10,1,7.016829e+01
5,10,2,6.596477e+01
5,10,3,6.348683e+01
5,10,5,5.674011e+01
5,10,10,5.328781e+01
5,10,20,5.279808e+01
5,10,30,5.274656e+01
5,10,40,5.273470e+01
5,10,50,5.273278e+01
5,10,60,5.273267e+01
5,10,70,5.273266e+01
5,10,80,5.273265e+01
5,10,90,3.015406e+01
5,10,100,1.519354e+01
5,10,1,7.016829e+01
5,10,2,6.596477e+01
5,10,3,6.348683e+01
5,10,5,5.674011e+01
5,10,10,5.307251e+01
5,10,20,5.274612e+01
5,10,30,5.273520e+01
5,10,40,4.782524e+01
5,10,50,4.595147e+01
5,10,60,4.581748e+01
5,10,70,4.579542e+01
5,10,80,4.578576e+01
5,10,90,4.577429e+01
5,10,100,4.576929e+01
5,10,1,7.016829e+01
5,10,2,6.596477e+01
5,10,3,6.348683e+01
5,10,5,5.674011e+01
5,10,10,5.355987e+01
5,10,20,5.278391e+01
5,10,30,5.274045e+01
5,10,40,5.273292e+01
5,10,50,5.273267e+01
5,10,60,5.273266e+01
5,10,70,5.273265e+01
5,10,80,5.273265e+01
5,10,90,5.273265e+01
5,10,100,2.110781e+01
5,10,1,7.016829e+01
5,10,2,6.596477e+01
5,10,3,6.348683e+01
5,10,5,5.674011e+01
5,10,10,5.307251e+01
5,10,20,5.274612e+01
5,10,30,5.273520e+01
5,10,40,4.782524e+01
5,10,50,4.595147e+01
5,10,60,4.581748e+01
5,10,70,4.579542e+01
5,10,80,4.578576e+01
5,10,90,4.577429e+01
5,10,100,4.576929e+01
