funcid,dim,milestone,error
25,10,1,4.524674e+02
25,10,2,4.494254e+02
25,10,3,4.493690e+02
25,10,5,4.463293e+02
25,10,10,4.238866e+02
25,10,20,4.024682e+02
25,10,30,4.004133e+02
25,10,40,3.998053e+02
25,10,50,3.997178e+02
25,10,60,3.996418e+02
25,10,70,3.996289e+02
25,10,80,3.996198e+02
25,10,90,3.996156e+02
25,10,100,3.996146e+02
25,10,1,5.281989e+02
25,10,2,5.197959e+02
25,10,3,5.070722e+02
25,10,5,4.912435e+02
25,10,10,4.643181e+02
25,10,20,4.580203e+02
25,10,30,4.528946e+02
25,10,40,4.519996e+02
25,10,50,4.513693e+02
25,10,60,4.499274e+02
25,10,70,4.492099e+02
25,10,80,4.490814e+02
25,10,90,4.490587e+02
25,10,100,4.483428e+02
25,10,1,5.281989e+02
25,10,2,5.197959e+02
25,10,3,5.070722e+02
25,10,5,4.912435e+02
25,10,10,4.643181e+02
25,10,20,4.580767e+02
25,10,30,4.536959e+02
25,10,40,4.500716e+02
25,10,50,4.489359e+02
25,10,60,4.475924e+02
25,10,70,4.475195e+02
25,10,80,4.474875e+02
25,10,90,4.474818e+02
25,10,100,4.468388e+02
