funcid,dim,milestone,error
14,10,1,3.664283e+03
14,10,2,3.664180e+03
14,10,3,3.661639e+03
14,10,5,3.660799e+03
14,10,10,3.542553e+03
14,10,20,3.532350e+03
14,10,30,2.832639e+03
14,10,40,2.688710e+03
14,10,50,3.219612e+02
14,10,60,3.118298e+02
14,10,70,1.346436e+02
14,10,80,1.299031e+02
14,10,90,1.295997e+02
14,10,100,1.147644e+02
14,10,1,8.737094e+02
14,10,2,8.735377e+02
14,10,3,7.260288e+02
14,10,5,7.213281e+02
14,10,10,5.042818e+02
14,10,20,4.960645e+02
14,10,30,4.861509e+02
14,10,40,3.630964e+02
14,10,50,3.507550e+02
14,10,60,3.190112e+02
14,10,70,2.980691e+02
14,10,80,1.903283e+02
14,10,90,1.690265e+02
14,10,100,1.689524e+02
14,10,1,9.027989e+02
14,10,2,9.025998e+02
14,10,3,9.024540e+02
14,10,5,9.012923e+02
14,10,10,3.871681e+02
14,10,20,3.313837e+02
14,10,30,3.286453e+02
14,10,40,3.223441e+02
14,10,50,1.860663e+02
14,10,60,1.852343e+02
14,10,70,1.832007e+02
14,10,80,1.151994e+02
14,10,90,1.089570e+02
14,10,100,1.086579e+02
14,10,1,9.027989e+02
14,10,2,9.025998e+02
14,10,3,9.025509e+02
14,10,5,9.012605e+02
14,10,10,6.038300e+02
14,10,20,5.382792e+02
14,10,30,5.127745e+02
14,10,40,4.857616e+02
14,10,50,4.835034e+02
14,10,60,4.834749e+02
14,10,70,9.947189e+01
14,10,80,9.884112e+01
14,10,90,9.788328e+01
14,10,100,9.775866e+01
14,10,1,9.027989e+02
14,10,2,9.025998e+02
14,10,3,9.024540e+02
14,10,5,9.023733e+02
14,10,10,5.185160e+02
14,10,20,2.795474e+02
14,10,30,2.556770e+02
14,10,40,2.551040e+02
14,10,50,2.550599e+02
14,10,60,2.488572e+02
14,10,70,1.186098e+02
14,10,80,1.071584e+02
14,10,90,1.066222e+02
14,10,100,1.066189e+02
14,10,1,9.027989e+02
14,10,2,9.025883e+02
14,10,3,9.020868e+02
14,10,5,9.004359e+02
14,10,10,8.956608e+02
14,10,20,8.158910e+02
14,10,30,7.624117e+02
14,10,40,5.017382e+02
14,10,50,5.005767e+02
14,10,60,4.190082e+02
14,10,70,1.300631e+02
14,10,80,1.298401e+02
14,10,90,1.053317e+02
14,10,100,1.052010e+02
