funcid,dim,milestone,error
16,10,1,2.678599e+02
16,10,2,2.597421e+02
16,10,3,2.595036e+02
16,10,5,2.568355e+02
16,10,10,2.529481e+02
16,10,20,1.200553e+02
16,10,30,3.253249e+01
16,10,40,2.040423e+01
16,10,50,1.949221e+01
16,10,60,1.829297e+01
16,10,70,1.798952e+01
16,10,80,1.780200e+01
16,10,90,1.705763e+01
16,10,100,1.650723e+01
16,10,1,3.114990e+02
16,10,2,2.701390e+02
16,10,3,2.694140e+02
16,10,5,2.693038e+02
16,10,10,2.679157e+02
16,10,20,2.659475e+02
16,10,30,2.646221e+02
16,10,40,2.635150e+02
16,10,50,2.629550e+02
16,10,60,2.626472e+02
16,10,70,2.621178e+02
16,10,80,2.611443e+02
16,10,90,2.606750e+02
16,10,100,2.602045e+02
16,10,1,5.878887e+02
16,10,2,5.145294e+02
16,10,3,4.431503e+02
16,10,5,4.318832e+02
16,10,10,4.301497e+02
16,10,1,5.878887e+02
16,10,2,5.145294e+02
16,10,3,4.431503e+02
16,10,5,4.318832e+02
16,10,10,4.299926e+02
16,10,20,4.248525e+02
16,10,30,4.220976e+02
16,10,40,4.203331e+02
16,10,50,3.936178e+02
16,10,60,3.913020e+02
16,10,70,3.910681e+02
16,10,80,3.899311e+02
16,10,90,3.896200e+02
16,10,100,3.894380e+02
16,10,1,5.878887e+02
16,10,2,5.145294e+02
16,10,3,4.431503e+02
16,10,5,4.318832e+02
16,10,10,4.299926e+02
16,10,20,4.248525e+02
16,10,30,4.220976e+02
16,10,40,4.203331e+02
16,10,50,3.936178e+02
16,10,60,3.929971e+02
16,10,70,3.925809e+02
16,10,80,3.913931e+02
16,10,90,3.911561e+02
16,10,100,3.909732e+02
16,10,1,5.878887e+02
16,10,2,5.145294e+02
16,10,3,4.431503e+02
16,10,5,4.318832e+02
16,10,10,4.299926e+02
16,10,20,4.248525e+02
16,10,30,4.220976e+02
16,10,40,4.203331e+02
16,10,50,3.936178e+02
16,10,60,3.929971e+02
16,10,70,3.925809e+02
16,10,80,3.913931e+02
16,10,90,3.907894e+02
16,10,100,3.663248e+02
