funcid,dim,milestone,error
24,10,1,3.165707e+02
24,10,2,2.281761e+02
24,10,3,1.896667e+02
24,10,5,1.810039e+02
24,10,10,1.494762e+02
24,10,20,1.177447e+02
24,10,30,1.094482e+02
24,10,40,1.033020e+02
24,10,50,1.007976e+02
24,10,60,1.002184e+02
24,10,70,1.000492e+02
24,10,80,1.000093e+02
24,10,90,1.000040e+02
24,10,100,1.000021e+02
24,10,1,5.161588e+02
24,10,2,5.161206e+02
24,10,3,4.537018e+02
24,10,5,4.490923e+02
24,10,10,4.149230e+02
24,10,20,4.128964e+02
24,10,30,4.128410e+02
24,10,40,4.128237e+02
24,10,50,4.128203e+02
24,10,60,4.128174e+02
24,10,70,1.606564e+02
24,10,80,1.307470e+02
24,10,90,1.180905e+02
24,10,100,1.106160e+02
24,10,1,5.161588e+02
24,10,2,5.071999e+02
24,10,3,5.024857e+02
24,10,5,4.846439e+02
24,10,10,4.478884e+02
24,10,20,3.886597e+02
24,10,30,3.877670e+02
24,10,40,3.877386e+02
24,10,50,3.877367e+02
24,10,60,3.877365e+02
24,10,70,3.877365e+02
24,10,80,3.877364e+02
24,10,90,3.877364e+02
24,10,100,3.877364e+02
