funcid,dim,milestone,error
27,10,1,5.009752e+02
27,10,2,5.009752e+02
27,10,3,5.009752e+02
27,10,5,4.770207e+02
27,10,10,4.770207e+02
27,10,20,4.754209e+02
27,10,30,4.695836e+02
27,10,40,4.582932e+02
27,10,50,4.549634e+02
27,10,60,4.472154e+02
27,10,70,4.472154e+02
27,10,80,4.472154e+02
27,10,90,4.472154e+02
27,10,100,4.468550e+02
27,10,1,5.483890e+02
27,10,2,4.619918e+02
27,10,3,4.619918e+02
27,10,5,4.619918e+02
27,10,10,4.619918e+02
27,10,20,4.619918e+02
27,10,30,4.532578e+02
27,10,40,4.442492e+02
27,10,50,4.442492e+02
27,10,60,4.442492e+02
27,10,70,4.442492e+02
27,10,80,4.442492e+02
27,10,90,4.442492e+02
27,10,100,4.442492e+02
27,10,1,4.912088e+02
27,10,2,4.912088e+02
27,10,3,4.912088e+02
27,10,5,4.912088e+02
27,10,10,4.912088e+02
27,10,20,4.912088e+02
27,10,30,4.912088e+02
27,10,40,4.457511e+02
27,10,50,4.457511e+02
27,10,60,4.457511e+02
27,10,70,4.457511e+02
27,10,80,4.457511e+02
27,10,90,4.457511e+02
27,10,100,4.457511e+02
27,10,1,5.009752e+02
27,10,2,5.009752e+02
27,10,3,5.009752e+02
27,10,5,4.770207e+02
27,10,10,4.770207e+02
27,10,20,4.754209e+02
27,10,30,4.695836e+02
27,10,40,4.582932e+02
27,10,50,4.549634e+02
27,10,60,4.472154e+02
27,10,70,4.472154e+02
27,10,80,4.472154e+02
27,10,90,4.472154e+02
27,10,100,4.468550e+02
27,10,1,5.009752e+02
27,10,2,5.009752e+02
27,10,3,5.009752e+02
27,10,5,4.770207e+02
27,10,10,4.770207e+02
27,10,20,4.754209e+02
27,10,30,4.695836e+02
27,10,40,4.582932e+02
27,10,50,4.549634e+02
27,10,60,4.472154e+02
27,10,70,4.472154e+02
27,10,80,4.472154e+02
27,10,90,4.472154e+02
27,10,100,4.468550e+02
27,10,1,5.009752e+02
27,10,2,5.009752e+02
27,10,3,5.009752e+02
27,10,5,4.770207e+02
27,10,10,4.770207e+02
27,10,20,4.754209e+02
27,10,30,4.695836e+02
27,10,40,4.582932e+02
27,10,50,4.549634e+02
27,10,60,4.472154e+02
27,10,70,4.472154e+02
27,10,80,4.472154e+02
27,10,90,4.472154e+02
27,10,100,4.468550e+02
27,10,1,5.009752e+02
27,10,2,5.009752e+02
27,10,3,5.009752e+02
27,10,5,4.770207e+02
27,10,10,4.770207e+02
27,10,20,4.754209e+02
27,10,30,4.695836e+02
27,10,40,4.582932e+02
27,10,50,4.549634e+02
27,10,60,4.472154e+02
27,10,70,4.472154e+02
27,10,80,4.472154e+02
27,10,90,4.472154e+02
27,10,100,4.468550e+02
27,10,1,5.009752e+02
27,10,2,5.009752e+02
27,10,3,5.009752e+02
27,10,5,4.770207e+02
27,10,10,4.770207e+02
27,10,20,4.754209e+02
27,10,30,4.695836e+02
27,10,40,4.582932e+02
27,10,50,4.549634e+02
27,10,60,4.472154e+02
27,10,70,4.472154e+02
27,10,80,4.472154e+02
27,10,90,4.472154e+02
27,10,100,4.468550e+02
27,10,1,5.009752e+02
27,10,2,5.009752e+02
27,10,3,5.009752e+02
27,10,5,4.770207e+02
27,10,10,4.770207e+02
27,10,20,4.754209e+02
27,10,30,4.695836e+02
27,10,40,4.582932e+02
27,10,50,4.549634e+02
27,10,60,4.472154e+02
27,10,70,4.472154e+02
27,10,80,4.472154e+02
27,10,90,4.472154e+02
27,10,100,4.468550e+02
