funcid,dim,milestone,error
15,10,1,1.175801e+05
15,10,2,1.175801e+05
15,10,3,1.175801e+05
15,10,5,1.091957e+05
15,10,10,1.778078e+04
15,10,20,7.416303e+03
15,10,30,7.416303e+03
15,10,40,7.416303e+03
15,10,50,7.416303e+03
15,10,60,4.087977e+03
15,10,70,4.087977e+03
15,10,80,4.087977e+03
15,10,90,4.087977e+03
15,10,100,4.087977e+03
15,10,1,2.159144e+04
15,10,2,2.159144e+04
15,10,3,2.159144e+04
15,10,5,2.159144e+04
15,10,10,2.159144e+04
15,10,20,8.342216e+03
15,10,30,8.342216e+03
15,10,40,8.342216e+03
15,10,50,5.947960e+03
15,10,60,5.947960e+03
15,10,70,5.947960e+03
15,10,80,5.947960e+03
15,10,90,5.947960e+03
15,10,100,5.947960e+03
15,10,1,4.497127e+04
15,10,2,4.497127e+04
15,10,3,4.497127e+04
15,10,5,4.497127e+04
15,10,10,2.356830e+04
15,10,20,2.356830e+04
15,10,30,2.356830e+04
15,10,40,2.356830e+04
15,10,50,1.392471e+04
15,10,60,1.392471e+04
15,10,70,1.051397e+04
15,10,80,1.051397e+04
15,10,90,1.051397e+04
15,10,100,1.051397e+04
15,10,1,8.173391e+04
15,10,2,7.750435e+04
15,10,3,4.415063e+04
15,10,5,4.415063e+04
15,10,10,2.461865e+04
15,10,20,8.580663e+03
15,10,30,8.580663e+03
15,10,40,8.580663e+03
15,10,1,4.797959e+04
15,10,2,4.797959e+04
15,10,3,4.797959e+04
15,10,5,3.640337e+04
15,10,10,5.970442e+03
15,10,20,5.970442e+03
15,10,30,5.970442e+03
15,10,40,5.182520e+03
15,10,50,5.182520e+03
15,10,60,5.182520e+03
15,10,70,5.182520e+03
15,10,80,5.182520e+03
15,10,90,5.182520e+03
15,10,100,5.182520e+03
15,10,1,1.175801e+05
15,10,2,1.175801e+05
15,10,3,1.175801e+05
15,10,5,1.091957e+05
15,10,10,1.778078e+04
15,10,20,7.416303e+03
15,10,30,7.416303e+03
15,10,40,7.416303e+03
15,10,50,7.416303e+03
15,10,60,4.087977e+03
15,10,70,4.087977e+03
15,10,80,4.087977e+03
15,10,90,4.087977e+03
15,10,100,4.087977e+03
15,10,1,1.175801e+05
15,10,2,1.175801e+05
15,10,3,1.175801e+05
15,10,5,1.091957e+05
15,10,10,1.778078e+04
15,10,20,7.416303e+03
15,10,30,7.416303e+03
15,10,40,7.416303e+03
15,10,50,7.416303e+03
15,10,60,4.087977e+03
15,10,70,4.087977e+03
15,10,80,4.087977e+03
15,10,90,4.087977e+03
15,10,100,4.087977e+03
15,10,1,1.175801e+05
15,10,2,1.175801e+05
15,10,3,1.175801e+05
15,10,5,1.091957e+05
15,10,10,1.778078e+04
15,10,20,7.416303e+03
15,10,30,7.416303e+03
15,10,40,7.416303e+03
15,10,50,7.416303e+03
15,10,60,4.087977e+03
15,10,70,4.087977e+03
15,10,80,4.087977e+03
15,10,90,4.087977e+03
15,10,100,4.087977e+03
15,10,1,1.175801e+05
15,10,2,1.175801e+05
15,10,3,1.175801e+05
15,10,5,1.091957e+05
15,10,10,1.778078e+04
15,10,20,7.416303e+03
15,10,30,7.416303e+03
15,10,40,7.416303e+03
15,10,50,7.416303e+03
15,10,60,4.087977e+03
15,10,70,4.087977e+03
15,10,80,4.087977e+03
15,10,90,4.087977e+03
15,10,100,4.087977e+03
15,10,1,1.175801e+05
15,10,2,1.175801e+05
15,10,3,1.175801e+05
15,10,5,1.091957e+05
15,10,10,1.778078e+04
15,10,20,7.416303e+03
15,10,30,7.416303e+03
15,10,40,7.416303e+03
15,10,50,7.416303e+03
15,10,60,4.087977e+03
15,10,70,4.087977e+03
15,10,80,4.087977e+03
15,10,90,4.087977e+03
15,10,100,4.087977e+03
15,10,1,1.175801e+05
15,10,2,1.175801e+05
15,10,3,1.175801e+05
15,10,5,1.091957e+05
15,10,10,1.778078e+04
15,10,20,7.416303e+03
15,10,30,7.416303e+03
15,10,40,7.416303e+03
15,10,50,7.416303e+03
15,10,60,4.087977e+03
15,10,70,4.087977e+03
15,10,80,4.087977e+03
15,10,90,4.087977e+03
15,10,100,4.087977e+03
15,10,1,1.175801e+05
15,10,2,1.175801e+05
15,10,3,1.175801e+05
15,10,5,1.091957e+05
15,10,10,1.778078e+04
15,10,20,7.416303e+03
15,10,30,7.416303e+03
15,10,40,7.416303e+03
15,10,50,7.416303e+03
15,10,60,4.087977e+03
15,10,70,4.087977e+03
15,10,80,4.087977e+03
15,10,90,4.087977e+03
15,10,100,4.087977e+03
