funcid,dim,milestone,error
16,10,1,7.154907e+02
16,10,2,7.154907e+02
16,10,3,7.154907e+02
16,10,5,5.233189e+02
16,10,10,5.107421e+02
16,10,20,2.820698e+02
16,10,30,2.820698e+02
16,10,40,2.820698e+02
16,10,50,6.272228e+01
16,10,60,6.272228e+01
16,10,70,6.272228e+01
16,10,80,6.272228e+01
16,10,90,6.272228e+01
16,10,100,6.272228e+01
16,10,1,6.039644e+02
16,10,2,6.039644e+02
16,10,3,6.039644e+02
16,10,5,6.039644e+02
16,10,10,6.039644e+02
16,10,20,5.989101e+02
16,10,30,5.817317e+02
16,10,40,5.105846e+02
16,10,50,5.105846e+02
16,10,60,4.551260e+02
16,10,70,4.551260e+02
16,10,80,4.551260e+02
16,10,90,4.551260e+02
16,10,100,4.551260e+02
16,10,1,8.246201e+02
16,10,2,4.746138e+02
16,10,3,4.746138e+02
16,10,5,4.746138e+02
16,10,10,4.746138e+02
16,10,20,4.746138e+02
16,10,30,4.746138e+02
16,10,40,4.102420e+02
16,10,50,4.102420e+02
16,10,60,4.102420e+02
16,10,70,4.102420e+02
16,10,80,4.102420e+02
16,10,90,4.102420e+02
16,10,100,4.102420e+02
16,10,1,8.220527e+02
16,10,2,5.717941e+02
16,10,3,5.717941e+02
16,10,5,5.099027e+02
16,10,10,5.099027e+02
16,10,20,5.099027e+02
16,10,30,4.639749e+02
16,10,40,4.613180e+02
16,10,50,4.613180e+02
16,10,60,4.613180e+02
16,10,70,4.613180e+02
16,10,80,4.613180e+02
16,10,90,4.613180e+02
16,10,100,4.409338e+02
16,10,1,7.154907e+02
16,10,2,7.154907e+02
16,10,3,7.154907e+02
16,10,5,5.233189e+02
16,10,10,5.107421e+02
16,10,20,2.820698e+02
16,10,30,2.820698e+02
16,10,40,2.820698e+02
16,10,50,6.272228e+01
16,10,60,6.272228e+01
16,10,70,6.272228e+01
16,10,80,6.272228e+01
16,10,90,6.272228e+01
16,10,100,6.272228e+01
16,10,1,7.154907e+02
16,10,2,7.154907e+02
16,10,3,7.154907e+02
16,10,5,5.233189e+02
16,10,10,5.107421e+02
16,10,20,2.820698e+02
16,10,30,2.820698e+02
16,10,40,2.820698e+02
16,10,50,6.272228e+01
16,10,60,6.272228e+01
16,10,70,6.272228e+01
16,10,80,6.272228e+01
16,10,90,6.272228e+01
16,10,100,6.272228e+01
16,10,1,7.154907e+02
16,10,2,7.154907e+02
16,10,3,7.154907e+02
16,10,5,5.233189e+02
16,10,10,5.107421e+02
16,10,20,2.820698e+02
16,10,30,2.820698e+02
16,10,40,2.820698e+02
16,10,50,6.272228e+01
16,10,60,6.272228e+01
16,10,70,6.272228e+01
16,10,80,6.272228e+01
16,10,90,6.272228e+01
16,10,100,6.272228e+01
16,10,1,7.154907e+02
16,10,2,7.154907e+02
16,10,3,7.154907e+02
16,10,5,5.233189e+02
16,10,10,5.107421e+02
16,10,20,2.820698e+02
16,10,30,2.820698e+02
16,10,40,2.820698e+02
16,10,50,6.272228e+01
16,10,60,6.272228e+01
16,10,70,6.272228e+01
16,10,80,6.272228e+01
16,10,90,6.272228e+01
16,10,100,6.272228e+01
16,10,1,7.154907e+02
16,10,2,7.154907e+02
16,10,3,7.154907e+02
16,10,5,5.233189e+02
16,10,10,5.107421e+02
16,10,20,2.820698e+02
16,10,30,2.820698e+02
16,10,40,2.820698e+02
16,10,50,6.272228e+01
16,10,60,6.272228e+01
16,10,70,6.272228e+01
16,10,80,6.272228e+01
16,10,90,6.272228e+01
16,10,100,6.272228e+01
16,10,1,7.154907e+02
16,10,2,7.154907e+02
16,10,3,7.154907e+02
16,10,5,5.233189e+02
16,10,10,5.107421e+02
16,10,20,2.820698e+02
16,10,30,2.820698e+02
16,10,40,2.820698e+02
16,10,50,6.272228e+01
16,10,60,6.272228e+01
16,10,70,6.272228e+01
16,10,80,6.272228e+01
16,10,90,6.272228e+01
16,10,100,6.272228e+01
16,10,1,7.154907e+02
16,10,2,7.154907e+02
16,10,3,7.154907e+02
16,10,5,5.233189e+02
16,10,10,5.107421e+02
16,10,20,2.820698e+02
16,10,30,2.820698e+02
16,10,40,2.820698e+02
16,10,50,6.272228e+01
16,10,60,6.272228e+01
16,10,70,6.272228e+01
16,10,80,6.272228e+01
16,10,90,6.272228e+01
16,10,100,6.272228e+01
