funcid,dim,milestone,error
22,10,1,7.173382e+02
22,10,2,7.173382e+02
22,10,3,4.943399e+02
22,10,5,1.624723e+02
22,10,10,1.624723e+02
22,10,20,1.624723e+02
22,10,30,1.624723e+02
22,10,40,1.624723e+02
22,10,50,1.624723e+02
22,10,60,1.624723e+02
22,10,70,1.624723e+02
22,10,80,1.624723e+02
22,10,90,1.424589e+02
22,10,100,1.424589e+02
22,10,1,7.607300e+02
22,10,2,7.607300e+02
22,10,3,6.651540e+02
22,10,5,6.651540e+02
22,10,10,3.908493e+02
22,10,20,3.908493e+02
22,10,30,3.908493e+02
22,10,40,2.735932e+02
22,10,50,2.735932e+02
22,10,60,2.735932e+02
22,10,70,2.735932e+02
22,10,80,2.735932e+02
22,10,90,2.735932e+02
22,10,100,2.735932e+02
22,10,1,1.268259e+03
22,10,2,1.268259e+03
22,10,3,1.268259e+03
22,10,5,9.408392e+02
22,10,10,9.408392e+02
22,10,20,7.459584e+02
22,10,30,5.039834e+02
22,10,40,2.752114e+02
22,10,50,2.752114e+02
22,10,60,2.752114e+02
22,10,70,2.752114e+02
22,10,80,2.752114e+02
22,10,90,2.752114e+02
22,10,100,2.752114e+02
22,10,1,7.173382e+02
22,10,2,7.173382e+02
22,10,3,4.943399e+02
22,10,5,1.624723e+02
22,10,10,1.624723e+02
22,10,20,1.624723e+02
22,10,30,1.624723e+02
22,10,40,1.624723e+02
22,10,50,1.624723e+02
22,10,60,1.624723e+02
22,10,70,1.624723e+02
22,10,80,1.624723e+02
22,10,90,1.424589e+02
22,10,100,1.424589e+02
22,10,1,7.173382e+02
22,10,2,7.173382e+02
22,10,3,4.943399e+02
22,10,5,1.624723e+02
22,10,10,1.624723e+02
22,10,20,1.624723e+02
22,10,30,1.624723e+02
22,10,40,1.624723e+02
22,10,50,1.624723e+02
22,10,60,1.624723e+02
22,10,70,1.624723e+02
22,10,80,1.624723e+02
22,10,90,1.424589e+02
22,10,100,1.424589e+02
22,10,1,7.173382e+02
22,10,2,7.173382e+02
22,10,3,4.943399e+02
22,10,5,1.624723e+02
22,10,10,1.624723e+02
22,10,20,1.624723e+02
22,10,30,1.624723e+02
22,10,40,1.624723e+02
22,10,50,1.624723e+02
22,10,60,1.624723e+02
22,10,70,1.624723e+02
22,10,80,1.624723e+02
22,10,90,1.424589e+02
22,10,100,1.424589e+02
22,10,1,7.173382e+02
22,10,2,7.173382e+02
22,10,3,4.943399e+02
22,10,5,1.624723e+02
22,10,10,1.624723e+02
22,10,20,1.624723e+02
22,10,30,1.624723e+02
22,10,40,1.624723e+02
22,10,50,1.624723e+02
22,10,60,1.624723e+02
22,10,70,1.624723e+02
22,10,80,1.624723e+02
22,10,90,1.424589e+02
22,10,100,1.424589e+02
22,10,1,7.173382e+02
22,10,2,7.173382e+02
22,10,3,4.943399e+02
22,10,5,1.624723e+02
22,10,10,1.624723e+02
22,10,20,1.624723e+02
22,10,30,1.624723e+02
22,10,40,1.624723e+02
22,10,50,1.624723e+02
22,10,60,1.624723e+02
22,10,70,1.624723e+02
22,10,80,1.624723e+02
22,10,90,1.424589e+02
22,10,100,1.424589e+02
22,10,1,7.173382e+02
22,10,2,7.173382e+02
22,10,3,4.943399e+02
22,10,5,1.624723e+02
22,10,10,1.624723e+02
22,10,20,1.624723e+02
22,10,30,1.624723e+02
22,10,40,1.624723e+02
22,10,50,1.624723e+02
22,10,60,1.624723e+02
22,10,70,1.624723e+02
22,10,80,1.624723e+02
22,10,90,1.424589e+02
22,10,100,1.424589e+02
