funcid,dim,milestone,error
7,10,1,3.914564e+02
7,10,2,3.164435e+02
7,10,3,2.992716e+02
7,10,5,2.992716e+02
7,10,10,2.536068e+02
7,10,20,2.480556e+02
7,10,30,2.345467e+02
7,10,40,1.864931e+02
7,10,50,1.864931e+02
7,10,60,1.864931e+02
7,10,70,1.864931e+02
7,10,80,1.864931e+02
7,10,90,1.864931e+02
7,10,100,1.864931e+02
7,10,1,2.850999e+02
7,10,2,2.850999e+02
7,10,3,2.847805e+02
7,10,5,2.847805e+02
7,10,10,2.205900e+02
7,10,20,2.205900e+02
7,10,30,2.205900e+02
7,10,40,2.186580e+02
7,10,50,1.867144e+02
7,10,60,1.867144e+02
7,10,70,1.867144e+02
7,10,80,1.867144e+02
7,10,90,1.867144e+02
7,10,100,1.867144e+02
7,10,1,2.628036e+02
7,10,2,1.823061e+02
7,10,3,1.823061e+02
7,10,5,1.823061e+02
7,10,10,1.823061e+02
7,10,20,1.823061e+02
7,10,30,1.575030e+02
7,10,40,1.575030e+02
7,10,50,1.575030e+02
7,10,60,1.575030e+02
7,10,70,1.575030e+02
7,10,80,1.575030e+02
7,10,90,1.575030e+02
7,10,100,1.575030e+02
7,10,1,2.668239e+02
7,10,2,2.668239e+02
7,10,3,2.668239e+02
7,10,5,2.444061e+02
7,10,10,1.724626e+02
7,10,20,1.724626e+02
7,10,30,1.724626e+02
7,10,40,1.724626e+02
7,10,50,1.724626e+02
7,10,60,1.724626e+02
7,10,70,1.724626e+02
7,10,80,1.724626e+02
7,10,90,1.724626e+02
7,10,100,1.724626e+02
7,10,1,2.115934e+02
7,10,2,2.115934e+02
7,10,3,2.115934e+02
7,10,5,2.115934e+02
7,10,10,2.115934e+02
7,10,20,2.115934e+02
7,10,30,2.115934e+02
7,10,40,2.115934e+02
7,10,50,2.115934e+02
7,10,60,2.115934e+02
7,10,70,2.093714e+02
7,10,80,1.626317e+02
7,10,90,1.626317e+02
7,10,100,1.626317e+02
7,10,1,3.914564e+02
7,10,2,3.164435e+02
7,10,3,2.992716e+02
7,10,5,2.992716e+02
7,10,10,2.536068e+02
7,10,20,2.480556e+02
7,10,30,2.345467e+02
7,10,40,1.864931e+02
7,10,50,1.864931e+02
7,10,60,1.864931e+02
7,10,70,1.864931e+02
7,10,80,1.864931e+02
7,10,90,1.864931e+02
7,10,100,1.864931e+02
7,10,1,3.914564e+02
7,10,2,3.164435e+02
7,10,3,2.992716e+02
7,10,5,2.992716e+02
7,10,10,2.536068e+02
7,10,20,2.480556e+02
7,10,30,2.345467e+02
7,10,40,1.864931e+02
7,10,50,1.864931e+02
7,10,60,1.864931e+02
7,10,70,1.864931e+02
7,10,80,1.864931e+02
7,10,90,1.864931e+02
7,10,100,1.864931e+02
7,10,1,3.914564e+02
7,10,2,3.164435e+02
7,10,3,2.992716e+02
7,10,5,2.992716e+02
7,10,10,2.536068e+02
7,10,20,2.480556e+02
7,10,30,2.345467e+02
7,10,40,1.864931e+02
7,10,50,1.864931e+02
7,10,60,1.864931e+02
7,10,70,1.864931e+02
7,10,80,1.864931e+02
7,10,90,1.864931e+02
7,10,100,1.864931e+02
7,10,1,3.914564e+02
7,10,2,3.164435e+02
7,10,3,2.992716e+02
7,10,5,2.992716e+02
7,10,10,2.536068e+02
7,10,20,2.480556e+02
7,10,30,2.345467e+02
7,10,40,1.864931e+02
7,10,50,1.864931e+02
7,10,60,1.864931e+02
7,10,70,1.864931e+02
7,10,80,1.864931e+02
7,10,90,1.864931e+02
7,10,100,1.864931e+02
7,10,1,3.914564e+02
7,10,2,3.164435e+02
7,10,3,2.992716e+02
7,10,5,2.992716e+02
7,10,10,2.536068e+02
7,10,20,2.480556e+02
7,10,30,2.345467e+02
7,10,40,1.864931e+02
7,10,50,1.864931e+02
7,10,60,1.864931e+02
7,10,70,1.864931e+02
7,10,80,1.864931e+02
7,10,90,1.864931e+02
7,10,100,1.864931e+02
7,10,1,3.914564e+02
7,10,2,3.164435e+02
7,10,3,2.992716e+02
7,10,5,2.992716e+02
7,10,10,2.536068e+02
7,10,20,2.480556e+02
7,10,30,2.345467e+02
7,10,40,1.864931e+02
7,10,50,1.864931e+02
7,10,60,1.864931e+02
7,10,70,1.864931e+02
7,10,80,1.864931e+02
7,10,90,1.864931e+02
7,10,100,1.864931e+02
7,10,1,3.914564e+02
7,10,2,3.164435e+02
7,10,3,2.992716e+02
7,10,5,2.992716e+02
7,10,10,2.536068e+02
7,10,20,2.480556e+02
7,10,30,2.345467e+02
7,10,40,1.864931e+02
7,10,50,1.864931e+02
7,10,60,1.864931e+02
7,10,70,1.864931e+02
7,10,80,1.864931e+02
7,10,90,1.864931e+02
7,10,100,1.864931e+02
