funcid,dim,milestone,error
25,10,1,9.064578e+02
25,10,2,9.064578e+02
25,10,3,9.064578e+02
25,10,5,7.155576e+02
25,10,10,7.155576e+02
25,10,20,7.155576e+02
25,10,30,7.155576e+02
25,10,40,7.155576e+02
25,10,50,7.052915e+02
25,10,60,5.752991e+02
25,10,70,5.752991e+02
25,10,80,5.226630e+02
25,10,90,5.226630e+02
25,10,100,5.226630e+02
25,10,1,1.487770e+03
25,10,2,9.596955e+02
25,10,3,9.596955e+02
25,10,5,9.578967e+02
25,10,10,7.996218e+02
25,10,20,6.986352e+02
25,10,30,6.986352e+02
25,10,40,6.986352e+02
25,10,50,6.986352e+02
25,10,60,6.986352e+02
25,10,70,6.870404e+02
25,10,80,6.870404e+02
25,10,90,5.628211e+02
25,10,100,5.628211e+02
25,10,1,1.035665e+03
25,10,2,9.760848e+02
25,10,3,9.760848e+02
25,10,5,6.569154e+02
25,10,10,6.569154e+02
25,10,20,6.569154e+02
25,10,30,6.569154e+02
25,10,40,6.569154e+02
25,10,50,6.569154e+02
25,10,60,6.569154e+02
25,10,70,6.569154e+02
25,10,80,6.463358e+02
25,10,90,6.463358e+02
25,10,100,6.463358e+02
25,10,1,9.064578e+02
25,10,2,9.064578e+02
25,10,3,9.064578e+02
25,10,5,7.155576e+02
25,10,10,7.155576e+02
25,10,20,7.155576e+02
25,10,30,7.155576e+02
25,10,40,7.155576e+02
25,10,50,7.052915e+02
25,10,60,5.752991e+02
25,10,70,5.752991e+02
25,10,80,5.226630e+02
25,10,90,5.226630e+02
25,10,100,5.226630e+02
25,10,1,9.064578e+02
25,10,2,9.064578e+02
25,10,3,9.064578e+02
25,10,5,7.155576e+02
25,10,10,7.155576e+02
25,10,20,7.155576e+02
25,10,30,7.155576e+02
25,10,40,7.155576e+02
25,10,50,7.052915e+02
25,10,60,5.752991e+02
25,10,70,5.752991e+02
25,10,80,5.226630e+02
25,10,90,5.226630e+02
25,10,100,5.226630e+02
25,10,1,9.064578e+02
25,10,2,9.064578e+02
25,10,3,9.064578e+02
25,10,5,7.155576e+02
25,10,10,7.155576e+02
25,10,20,7.155576e+02
25,10,30,7.155576e+02
25,10,40,7.155576e+02
25,10,50,7.052915e+02
25,10,60,5.752991e+02
25,10,70,5.752991e+02
25,10,80,5.226630e+02
25,10,90,5.226630e+02
25,10,100,5.226630e+02
25,10,1,9.064578e+02
25,10,2,9.064578e+02
25,10,3,9.064578e+02
25,10,5,7.155576e+02
25,10,10,7.155576e+02
25,10,20,7.155576e+02
25,10,30,7.155576e+02
25,10,40,7.155576e+02
25,10,50,7.052915e+02
25,10,60,5.752991e+02
25,10,70,5.752991e+02
25,10,80,5.226630e+02
25,10,90,5.226630e+02
25,10,100,5.226630e+02
25,10,1,9.064578e+02
25,10,2,9.064578e+02
25,10,3,9.064578e+02
25,10,5,7.155576e+02
25,10,10,7.155576e+02
25,10,20,7.155576e+02
25,10,30,7.155576e+02
25,10,40,7.155576e+02
25,10,50,7.052915e+02
25,10,60,5.752991e+02
25,10,70,5.752991e+02
25,10,80,5.226630e+02
25,10,90,5.226630e+02
25,10,100,5.226630e+02
25,10,1,9.064578e+02
25,10,2,9.064578e+02
25,10,3,9.064578e+02
25,10,5,7.155576e+02
25,10,10,7.155576e+02
25,10,20,7.155576e+02
25,10,30,7.155576e+02
25,10,40,7.155576e+02
25,10,50,7.052915e+02
25,10,60,5.752991e+02
25,10,70,5.752991e+02
25,10,80,5.226630e+02
25,10,90,5.226630e+02
25,10,100,5.226630e+02
