funcid,dim,milestone,error
9,10,1,2.512905e+03
9,10,2,2.498178e+03
9,10,3,1.859344e+03
9,10,5,1.372720e+03
9,10,10,1.372720e+03
9,10,20,1.292201e+03
9,10,30,9.896719e+02
9,10,40,9.896719e+02
9,10,50,9.896719e+02
9,10,60,9.896719e+02
9,10,70,9.896719e+02
9,10,80,9.896719e+02
9,10,90,9.896719e+02
9,10,100,9.896719e+02
9,10,1,1.976770e+03
9,10,2,9.432722e+02
9,10,3,9.432722e+02
9,10,5,9.432722e+02
9,10,10,9.432722e+02
9,10,20,9.432722e+02
9,10,30,9.432722e+02
9,10,40,9.432722e+02
9,10,50,9.432722e+02
9,10,60,7.167791e+02
9,10,70,7.167791e+02
9,10,80,7.167791e+02
9,10,90,7.167791e+02
9,10,100,7.167791e+02
9,10,1,8.019100e+02
9,10,2,8.019100e+02
9,10,3,8.019100e+02
9,10,5,8.019100e+02
9,10,10,8.019100e+02
9,10,20,8.019100e+02
9,10,30,6.329875e+02
9,10,40,6.329875e+02
9,10,50,6.329875e+02
9,10,60,6.329875e+02
9,10,70,6.329875e+02
9,10,80,6.329875e+02
9,10,90,6.329875e+02
9,10,100,6.329875e+02
9,10,1,1.925989e+03
9,10,2,1.787551e+03
9,10,3,1.787551e+03
9,10,5,1.575527e+03
9,10,10,1.575527e+03
9,10,20,1.575527e+03
9,10,30,1.002376e+03
9,10,40,1.002376e+03
9,10,50,1.002376e+03
9,10,60,9.894635e+02
9,10,70,9.894635e+02
9,10,80,9.115764e+02
9,10,90,9.115764e+02
9,10,100,9.115764e+02
9,10,1,1.655810e+03
9,10,2,1.655810e+03
9,10,3,1.655810e+03
9,10,5,1.451426e+03
9,10,10,1.451426e+03
9,10,20,1.451426e+03
9,10,30,1.451426e+03
9,10,40,1.351838e+03
9,10,50,1.351838e+03
9,10,60,1.306242e+03
9,10,70,1.306242e+03
9,10,80,7.494713e+02
9,10,90,7.494713e+02
9,10,100,7.494713e+02
9,10,1,2.512905e+03
9,10,2,2.498178e+03
9,10,3,1.859344e+03
9,10,5,1.372720e+03
9,10,10,1.372720e+03
9,10,20,1.292201e+03
9,10,30,9.896719e+02
9,10,40,9.896719e+02
9,10,50,9.896719e+02
9,10,60,9.896719e+02
9,10,70,9.896719e+02
9,10,80,9.896719e+02
9,10,90,9.896719e+02
9,10,100,9.896719e+02
9,10,1,2.512905e+03
9,10,2,2.498178e+03
9,10,3,1.859344e+03
9,10,5,1.372720e+03
9,10,10,1.372720e+03
9,10,20,1.292201e+03
9,10,30,9.896719e+02
9,10,40,9.896719e+02
9,10,50,9.896719e+02
9,10,60,9.896719e+02
9,10,70,9.896719e+02
9,10,80,9.896719e+02
9,10,90,9.896719e+02
9,10,100,9.896719e+02
9,10,1,2.512905e+03
9,10,2,2.498178e+03
9,10,3,1.859344e+03
9,10,5,1.372720e+03
9,10,10,1.372720e+03
9,10,20,1.292201e+03
9,10,30,9.896719e+02
9,10,40,9.896719e+02
9,10,50,9.896719e+02
9,10,60,9.896719e+02
9,10,70,9.896719e+02
9,10,80,9.896719e+02
9,10,90,9.896719e+02
9,10,100,9.896719e+02
9,10,1,2.512905e+03
9,10,2,2.498178e+03
9,10,3,1.859344e+03
9,10,5,1.372720e+03
9,10,10,1.372720e+03
9,10,20,1.292201e+03
9,10,30,9.896719e+02
9,10,40,9.896719e+02
9,10,50,9.896719e+02
9,10,60,9.896719e+02
9,10,70,9.896719e+02
9,10,80,9.896719e+02
9,10,90,9.896719e+02
9,10,100,9.896719e+02
9,10,1,2.512905e+03
9,10,2,2.498178e+03
9,10,3,1.859344e+03
9,10,5,1.372720e+03
9,10,10,1.372720e+03
9,10,20,1.292201e+03
9,10,30,9.896719e+02
9,10,40,9.896719e+02
9,10,50,9.896719e+02
9,10,60,9.896719e+02
9,10,70,9.896719e+02
9,10,80,9.896719e+02
9,10,90,9.896719e+02
9,10,100,9.896719e+02
9,10,1,2.512905e+03
9,10,2,2.498178e+03
9,10,3,1.859344e+03
9,10,5,1.372720e+03
9,10,10,1.372720e+03
9,10,20,1.292201e+03
9,10,30,9.896719e+02
9,10,40,9.896719e+02
9,10,50,9.896719e+02
9,10,60,9.896719e+02
9,10,70,9.896719e+02
9,10,80,9.896719e+02
9,10,90,9.896719e+02
9,10,100,9.896719e+02
9,10,1,2.512905e+03
9,10,2,2.498178e+03
9,10,3,1.859344e+03
9,10,5,1.372720e+03
9,10,10,1.372720e+03
9,10,20,1.292201e+03
9,10,30,9.896719e+02
9,10,40,9.896719e+02
9,10,50,9.896719e+02
9,10,60,9.896719e+02
9,10,70,9.896719e+02
9,10,80,9.896719e+02
9,10,90,9.896719e+02
9,10,100,9.896719e+02
