funcid,dim,milestone,error
2,10,1,3.874288e+11
2,10,2,1.587878e+11
2,10,3,5.913797e+10
2,10,5,1.225089e+10
2,10,10,1.225089e+10
2,10,20,1.499932e+09
2,10,30,1.499932e+09
2,10,40,6.955770e+07
2,10,50,6.955770e+07
2,10,60,6.955770e+07
2,10,70,6.955770e+07
2,10,80,6.955770e+07
2,10,90,6.955770e+07
2,10,100,6.955770e+07
2,10,1,1.158576e+12
2,10,2,3.284841e+11
2,10,3,5.779788e+10
2,10,5,5.779788e+10
2,10,10,5.779788e+10
2,10,20,5.779788e+10
2,10,30,2.914443e+09
2,10,40,2.914443e+09
2,10,50,2.914443e+09
2,10,60,1.323539e+09
2,10,70,1.323539e+09
2,10,80,1.323539e+09
2,10,90,4.896980e+08
2,10,100,4.896980e+08
2,10,1,3.889290e+11
2,10,2,1.912509e+11
2,10,3,1.912509e+11
2,10,5,1.912509e+11
2,10,10,1.912509e+11
2,10,20,1.071507e+11
2,10,30,1.391200e+10
2,10,40,9.808073e+09
2,10,50,9.808073e+09
2,10,60,2.915003e+08
2,10,70,2.915003e+08
2,10,80,2.915003e+08
2,10,90,2.915003e+08
2,10,100,2.915003e+08
2,10,1,2.277633e+12
2,10,2,1.323018e+08
2,10,3,1.323018e+08
2,10,5,1.323018e+08
2,10,10,1.323018e+08
2,10,20,1.323018e+08
2,10,30,1.323018e+08
2,10,40,1.323018e+08
2,10,50,1.323018e+08
2,10,60,1.323018e+08
2,10,70,1.323018e+08
2,10,80,1.323018e+08
2,10,90,1.323018e+08
2,10,100,1.323018e+08
2,10,1,1.180440e+12
2,10,2,2.605908e+11
2,10,3,2.605908e+11
2,10,5,2.887799e+09
2,10,10,2.887799e+09
2,10,20,2.887799e+09
2,10,30,2.887799e+09
2,10,40,2.887799e+09
2,10,50,2.887799e+09
2,10,1,2.963634e+10
2,10,2,1.721462e+10
2,10,3,1.721462e+10
2,10,5,1.721462e+10
2,10,10,1.721462e+10
2,10,20,1.182271e+10
2,10,30,1.182271e+10
