funcid,dim,milestone,error
5,10,1,1.131968e+02
5,10,2,1.131968e+02
5,10,3,1.008460e+02
5,10,5,8.124822e+01
5,10,10,8.124822e+01
5,10,20,7.274701e+01
5,10,30,7.274701e+01
5,10,40,7.274701e+01
5,10,50,7.274701e+01
5,10,60,7.274701e+01
5,10,70,7.225580e+01
5,10,80,7.225580e+01
5,10,90,7.225580e+01
5,10,100,7.225580e+01
5,10,1,1.226895e+02
5,10,2,9.772153e+01
5,10,3,9.772153e+01
5,10,5,9.772153e+01
5,10,10,9.772153e+01
5,10,20,7.692533e+01
5,10,30,7.692533e+01
5,10,40,7.692533e+01
5,10,50,7.692533e+01
5,10,60,7.692533e+01
5,10,70,7.692533e+01
5,10,80,7.403232e+01
5,10,90,7.403232e+01
5,10,1,1.345361e+02
5,10,2,1.224840e+02
5,10,3,1.151444e+02
5,10,5,1.151444e+02
5,10,10,8.520971e+01
5,10,20,8.520971e+01
5,10,30,8.520971e+01
5,10,40,4.633341e+01
5,10,50,4.633341e+01
5,10,60,4.633341e+01
5,10,70,4.633341e+01
5,10,80,4.633341e+01
5,10,90,4.633341e+01
5,10,100,4.633341e+01
5,10,1,1.134475e+02
5,10,2,1.134475e+02
5,10,3,8.720971e+01
5,10,5,8.720971e+01
5,10,10,8.720971e+01
5,10,20,8.720971e+01
5,10,30,6.590251e+01
5,10,40,6.590251e+01
5,10,50,6.590251e+01
5,10,60,6.590251e+01
5,10,70,6.590251e+01
5,10,80,6.590251e+01
5,10,90,6.590251e+01
5,10,100,6.590251e+01
5,10,1,1.183482e+02
5,10,2,1.183482e+02
5,10,3,1.183482e+02
5,10,5,8.108144e+01
5,10,10,8.108144e+01
5,10,20,6.452794e+01
5,10,30,6.452794e+01
5,10,40,6.452794e+01
5,10,50,6.452794e+01
5,10,60,6.452794e+01
5,10,70,6.452794e+01
5,10,80,6.452794e+01
5,10,90,6.452794e+01
5,10,100,6.452794e+01
5,10,1,1.185126e+02
5,10,2,1.100396e+02
5,10,3,1.100396e+02
5,10,5,1.100396e+02
5,10,10,9.466564e+01
5,10,20,9.466564e+01
5,10,1,1.391106e+02
5,10,2,1.196088e+02
5,10,3,1.196088e+02
5,10,5,1.119734e+02
5,10,10,9.925202e+01
5,10,20,9.908848e+01
5,10,30,9.899386e+01
5,10,40,8.666459e+01
5,10,50,8.666459e+01
5,10,60,8.666459e+01
5,10,70,5.934726e+01
5,10,80,5.934726e+01
5,10,90,5.934726e+01
5,10,100,5.934726e+01
5,10,1,1.141811e+02
5,10,2,1.033836e+02
5,10,3,1.033836e+02
5,10,5,9.535393e+01
5,10,10,9.535393e+01
5,10,20,8.780371e+01
5,10,30,8.780371e+01
5,10,40,7.391590e+01
5,10,50,7.391590e+01
5,10,60,7.391590e+01
5,10,70,7.391590e+01
5,10,80,6.807920e+01
5,10,90,6.807920e+01
5,10,100,6.807920e+01
5,10,1,1.131968e+02
5,10,2,1.131968e+02
5,10,3,1.008460e+02
5,10,5,8.124822e+01
5,10,10,8.124822e+01
5,10,20,7.274701e+01
5,10,30,7.274701e+01
5,10,40,7.274701e+01
5,10,50,7.274701e+01
5,10,60,7.274701e+01
5,10,70,7.225580e+01
5,10,80,7.225580e+01
5,10,90,7.225580e+01
5,10,100,7.225580e+01
5,10,1,1.131968e+02
5,10,2,1.131968e+02
5,10,3,1.008460e+02
5,10,5,8.124822e+01
5,10,10,8.124822e+01
5,10,20,7.274701e+01
5,10,30,7.274701e+01
5,10,40,7.274701e+01
5,10,50,7.274701e+01
5,10,60,7.274701e+01
5,10,70,7.225580e+01
5,10,80,7.225580e+01
5,10,90,7.225580e+01
5,10,100,7.225580e+01
5,10,1,1.131968e+02
5,10,2,1.131968e+02
5,10,3,1.008460e+02
5,10,5,8.124822e+01
5,10,10,8.124822e+01
5,10,20,7.274701e+01
5,10,30,7.274701e+01
5,10,40,7.274701e+01
5,10,50,7.274701e+01
5,10,60,7.274701e+01
5,10,70,7.225580e+01
5,10,80,7.225580e+01
5,10,90,7.225580e+01
5,10,100,7.225580e+01
5,10,1,1.131968e+02
5,10,2,1.131968e+02
5,10,3,1.008460e+02
5,10,5,8.124822e+01
5,10,10,8.124822e+01
5,10,20,7.274701e+01
5,10,30,7.274701e+01
5,10,40,7.274701e+01
5,10,50,7.274701e+01
5,10,60,7.274701e+01
5,10,70,7.225580e+01
5,10,80,7.225580e+01
5,10,90,7.225580e+01
5,10,100,7.225580e+01
5,10,1,1.131968e+02
5,10,2,1.131968e+02
5,10,3,1.008460e+02
5,10,5,8.124822e+01
5,10,10,8.124822e+01
5,10,20,7.274701e+01
5,10,30,7.274701e+01
5,10,40,7.274701e+01
5,10,50,7.274701e+01
5,10,60,7.274701e+01
5,10,70,7.225580e+01
5,10,80,7.225580e+01
5,10,90,7.225580e+01
5,10,100,7.225580e+01
5,10,1,1.131968e+02
5,10,2,1.131968e+02
5,10,3,1.008460e+02
5,10,5,8.124822e+01
5,10,10,8.124822e+01
5,10,20,7.274701e+01
5,10,30,7.274701e+01
5,10,40,7.274701e+01
5,10,50,7.274701e+01
5,10,60,7.274701e+01
5,10,70,7.225580e+01
5,10,80,7.225580e+01
5,10,90,7.225580e+01
5,10,100,7.225580e+01
5,10,1,1.131968e+02
5,10,2,1.131968e+02
5,10,3,1.008460e+02
5,10,5,8.124822e+01
5,10,10,8.124822e+01
5,10,20,7.274701e+01
5,10,30,7.274701e+01
5,10,40,7.274701e+01
5,10,50,7.274701e+01
5,10,60,7.274701e+01
5,10,70,7.225580e+01
5,10,80,7.225580e+01
5,10,90,7.225580e+01
5,10,100,7.225580e+01
