funcid,dim,milestone,error
19,10,1,8.385329e+04
19,10,2,8.385329e+04
19,10,3,7.891599e+04
19,10,5,2.061606e+04
19,10,10,2.061606e+04
19,10,20,5.568550e+03
19,10,30,5.568550e+03
19,10,40,5.568550e+03
19,10,50,5.568550e+03
19,10,60,5.568550e+03
19,10,70,5.568550e+03
19,10,80,5.568550e+03
19,10,90,5.568550e+03
19,10,100,2.624403e+03
19,10,1,4.526958e+05
19,10,2,4.526958e+05
19,10,3,2.969957e+05
19,10,5,1.839897e+05
19,10,10,1.594737e+05
19,10,20,2.636104e+04
19,10,30,2.636104e+04
19,10,40,4.866033e+03
19,10,50,4.866033e+03
19,10,60,4.866033e+03
19,10,70,4.866033e+03
19,10,80,4.866033e+03
19,10,1,8.687282e+06
19,10,2,5.439858e+06
19,10,3,5.169949e+05
19,10,5,1.079204e+04
19,10,10,1.079204e+04
19,10,20,1.079204e+04
19,10,30,1.079204e+04
19,10,40,1.079204e+04
19,10,50,8.242822e+03
19,10,60,8.242822e+03
19,10,70,8.242822e+03
19,10,80,8.242822e+03
19,10,90,8.242822e+03
19,10,100,8.242822e+03
19,10,1,9.591462e+05
19,10,2,9.591462e+05
19,10,3,6.887885e+05
19,10,5,6.887885e+05
19,10,10,2.460209e+04
19,10,20,2.460209e+04
19,10,30,4.713770e+03
19,10,40,4.713770e+03
19,10,50,4.713770e+03
19,10,60,4.713770e+03
19,10,70,1.366744e+03
19,10,80,1.366744e+03
19,10,90,1.366744e+03
19,10,100,1.366744e+03
19,10,1,8.385329e+04
19,10,2,8.385329e+04
19,10,3,7.891599e+04
19,10,5,2.061606e+04
19,10,10,2.061606e+04
19,10,20,5.568550e+03
19,10,30,5.568550e+03
19,10,40,5.568550e+03
19,10,50,5.568550e+03
19,10,60,5.568550e+03
19,10,70,5.568550e+03
19,10,80,5.568550e+03
19,10,90,5.568550e+03
19,10,100,2.624403e+03
19,10,1,8.385329e+04
19,10,2,8.385329e+04
19,10,3,7.891599e+04
19,10,5,2.061606e+04
19,10,10,2.061606e+04
19,10,20,5.568550e+03
19,10,30,5.568550e+03
19,10,40,5.568550e+03
19,10,50,5.568550e+03
19,10,60,5.568550e+03
19,10,70,5.568550e+03
19,10,80,5.568550e+03
19,10,90,5.568550e+03
19,10,100,2.624403e+03
19,10,1,8.385329e+04
19,10,2,8.385329e+04
19,10,3,7.891599e+04
19,10,5,2.061606e+04
19,10,10,2.061606e+04
19,10,20,5.568550e+03
19,10,30,5.568550e+03
19,10,40,5.568550e+03
19,10,50,5.568550e+03
19,10,60,5.568550e+03
19,10,70,5.568550e+03
19,10,80,5.568550e+03
19,10,90,5.568550e+03
19,10,100,2.624403e+03
19,10,1,8.385329e+04
19,10,2,8.385329e+04
19,10,3,7.891599e+04
19,10,5,2.061606e+04
19,10,10,2.061606e+04
19,10,20,5.568550e+03
19,10,30,5.568550e+03
19,10,40,5.568550e+03
19,10,1,8.385329e+04
19,10,2,8.385329e+04
19,10,3,7.891599e+04
19,10,5,2.061606e+04
19,10,10,2.061606e+04
19,10,20,5.568550e+03
19,10,30,5.568550e+03
19,10,40,5.568550e+03
19,10,50,5.568550e+03
19,10,60,5.568550e+03
19,10,70,5.568550e+03
19,10,80,5.568550e+03
19,10,90,5.568550e+03
19,10,100,2.624403e+03
19,10,1,8.385329e+04
19,10,2,8.385329e+04
19,10,3,7.891599e+04
19,10,5,2.061606e+04
19,10,10,2.061606e+04
19,10,20,5.568550e+03
19,10,30,5.568550e+03
19,10,40,5.568550e+03
19,10,50,5.568550e+03
19,10,60,5.568550e+03
19,10,70,5.568550e+03
19,10,80,5.568550e+03
19,10,90,5.568550e+03
19,10,100,2.624403e+03
19,10,1,8.385329e+04
19,10,2,8.385329e+04
19,10,3,7.891599e+04
19,10,5,2.061606e+04
19,10,10,2.061606e+04
19,10,20,5.568550e+03
19,10,30,5.568550e+03
19,10,40,5.568550e+03
19,10,50,5.568550e+03
19,10,60,5.568550e+03
19,10,70,5.568550e+03
19,10,80,5.568550e+03
19,10,90,5.568550e+03
19,10,100,2.624403e+03
