funcid,dim,milestone,error
28,10,1,9.525521e+02
28,10,2,7.710532e+02
28,10,3,7.710532e+02
28,10,5,7.710532e+02
28,10,10,7.710532e+02
28,10,20,7.300775e+02
28,10,30,6.957445e+02
28,10,40,6.593830e+02
28,10,50,6.593830e+02
28,10,60,6.593830e+02
28,10,70,6.593830e+02
28,10,80,6.593830e+02
28,10,90,6.593830e+02
28,10,100,6.559510e+02
28,10,1,9.545482e+02
28,10,2,9.123830e+02
28,10,3,8.203255e+02
28,10,5,8.150000e+02
28,10,10,8.113084e+02
28,10,20,8.113084e+02
28,10,30,6.506789e+02
28,10,40,6.506789e+02
28,10,50,6.506789e+02
28,10,60,6.506789e+02
28,10,70,6.506789e+02
28,10,80,6.506789e+02
28,10,90,6.506789e+02
28,10,100,6.506789e+02
28,10,1,1.019774e+03
28,10,2,1.019774e+03
28,10,3,1.019774e+03
28,10,5,7.389732e+02
28,10,10,6.418492e+02
28,10,20,6.418492e+02
28,10,30,5.551848e+02
28,10,40,5.551848e+02
28,10,50,5.364234e+02
28,10,60,5.364234e+02
28,10,70,5.364234e+02
28,10,80,5.364234e+02
28,10,90,5.364234e+02
28,10,100,5.364234e+02
28,10,1,9.525521e+02
28,10,2,7.710532e+02
28,10,3,7.710532e+02
28,10,5,7.710532e+02
28,10,10,7.710532e+02
28,10,20,7.300775e+02
28,10,30,6.957445e+02
28,10,40,6.593830e+02
28,10,50,6.593830e+02
28,10,60,6.593830e+02
28,10,70,6.593830e+02
28,10,80,6.593830e+02
28,10,90,6.593830e+02
28,10,100,6.559510e+02
28,10,1,9.525521e+02
28,10,2,7.710532e+02
28,10,3,7.710532e+02
28,10,5,7.710532e+02
28,10,10,7.710532e+02
28,10,20,7.300775e+02
28,10,30,6.957445e+02
28,10,40,6.593830e+02
28,10,50,6.593830e+02
28,10,60,6.593830e+02
28,10,70,6.593830e+02
28,10,80,6.593830e+02
28,10,90,6.593830e+02
28,10,100,6.559510e+02
28,10,1,9.525521e+02
28,10,2,7.710532e+02
28,10,3,7.710532e+02
28,10,5,7.710532e+02
28,10,10,7.710532e+02
28,10,20,7.300775e+02
28,10,30,6.957445e+02
28,10,40,6.593830e+02
28,10,50,6.593830e+02
28,10,60,6.593830e+02
28,10,70,6.593830e+02
28,10,80,6.593830e+02
28,10,90,6.593830e+02
28,10,100,6.559510e+02
28,10,1,9.525521e+02
28,10,2,7.710532e+02
28,10,3,7.710532e+02
28,10,5,7.710532e+02
28,10,10,7.710532e+02
28,10,20,7.300775e+02
28,10,30,6.957445e+02
28,10,40,6.593830e+02
28,10,50,6.593830e+02
28,10,60,6.593830e+02
28,10,70,6.593830e+02
28,10,80,6.593830e+02
28,10,90,6.593830e+02
28,10,100,6.559510e+02
28,10,1,9.525521e+02
28,10,2,7.710532e+02
28,10,3,7.710532e+02
28,10,5,7.710532e+02
28,10,10,7.710532e+02
28,10,20,7.300775e+02
28,10,30,6.957445e+02
28,10,40,6.593830e+02
28,10,50,6.593830e+02
28,10,60,6.593830e+02
28,10,70,6.593830e+02
28,10,80,6.593830e+02
28,10,90,6.593830e+02
28,10,100,6.559510e+02
28,10,1,9.525521e+02
28,10,2,7.710532e+02
28,10,3,7.710532e+02
28,10,5,7.710532e+02
28,10,10,7.710532e+02
28,10,20,7.300775e+02
28,10,30,6.957445e+02
28,10,40,6.593830e+02
28,10,50,6.593830e+02
28,10,60,6.593830e+02
28,10,70,6.593830e+02
28,10,80,6.593830e+02
28,10,90,6.593830e+02
28,10,100,6.559510e+02
