funcid,dim,milestone,error
17,10,1,2.515498e+02
17,10,2,2.515498e+02
17,10,3,2.515498e+02
17,10,5,1.332624e+02
17,10,10,1.332624e+02
17,10,20,1.332624e+02
17,10,30,1.083678e+02
17,10,40,1.083678e+02
17,10,50,1.083678e+02
17,10,60,1.083678e+02
17,10,70,1.083678e+02
17,10,80,1.083678e+02
17,10,90,1.083678e+02
17,10,100,1.083678e+02
17,10,1,3.291959e+02
17,10,2,3.053343e+02
17,10,3,3.053343e+02
17,10,5,3.053343e+02
17,10,10,2.304142e+02
17,10,20,1.598361e+02
17,10,30,1.598361e+02
17,10,40,1.598361e+02
17,10,50,1.247294e+02
17,10,60,1.247294e+02
17,10,70,1.247294e+02
17,10,80,1.247294e+02
17,10,90,1.247294e+02
17,10,100,1.247294e+02
17,10,1,4.377250e+02
17,10,2,1.281339e+02
17,10,3,1.281339e+02
17,10,5,1.281339e+02
17,10,10,1.281339e+02
17,10,20,1.281339e+02
17,10,30,1.281339e+02
17,10,40,1.281339e+02
17,10,50,1.281339e+02
17,10,60,1.281339e+02
17,10,70,1.281339e+02
17,10,80,1.281339e+02
17,10,90,1.281339e+02
17,10,100,1.281339e+02
17,10,1,3.090905e+02
17,10,2,1.918056e+02
17,10,3,1.918056e+02
17,10,5,1.682220e+02
17,10,10,1.566699e+02
17,10,20,1.566699e+02
17,10,30,1.238992e+02
17,10,40,1.238992e+02
17,10,50,1.238992e+02
17,10,60,1.238992e+02
17,10,70,1.238992e+02
17,10,80,1.238992e+02
17,10,90,1.211324e+02
17,10,100,1.211324e+02
17,10,1,2.515498e+02
17,10,2,2.515498e+02
17,10,3,2.515498e+02
17,10,5,1.332624e+02
17,10,10,1.332624e+02
17,10,20,1.332624e+02
17,10,30,1.083678e+02
17,10,40,1.083678e+02
17,10,50,1.083678e+02
17,10,60,1.083678e+02
17,10,70,1.083678e+02
17,10,80,1.083678e+02
17,10,90,1.083678e+02
17,10,100,1.083678e+02
17,10,1,2.515498e+02
17,10,2,2.515498e+02
17,10,3,2.515498e+02
17,10,5,1.332624e+02
17,10,10,1.332624e+02
17,10,20,1.332624e+02
17,10,30,1.083678e+02
17,10,40,1.083678e+02
17,10,50,1.083678e+02
17,10,60,1.083678e+02
17,10,70,1.083678e+02
17,10,80,1.083678e+02
17,10,90,1.083678e+02
17,10,100,1.083678e+02
17,10,1,2.515498e+02
17,10,2,2.515498e+02
17,10,3,2.515498e+02
17,10,5,1.332624e+02
17,10,10,1.332624e+02
17,10,20,1.332624e+02
17,10,30,1.083678e+02
17,10,40,1.083678e+02
17,10,50,1.083678e+02
17,10,60,1.083678e+02
17,10,70,1.083678e+02
17,10,80,1.083678e+02
17,10,90,1.083678e+02
17,10,100,1.083678e+02
17,10,1,2.515498e+02
17,10,2,2.515498e+02
17,10,3,2.515498e+02
17,10,5,1.332624e+02
17,10,10,1.332624e+02
17,10,20,1.332624e+02
17,10,30,1.083678e+02
17,10,40,1.083678e+02
17,10,50,1.083678e+02
17,10,60,1.083678e+02
17,10,70,1.083678e+02
17,10,80,1.083678e+02
17,10,90,1.083678e+02
17,10,100,1.083678e+02
17,10,1,2.515498e+02
17,10,2,2.515498e+02
17,10,3,2.515498e+02
17,10,5,1.332624e+02
17,10,10,1.332624e+02
17,10,20,1.332624e+02
17,10,30,1.083678e+02
17,10,40,1.083678e+02
17,10,50,1.083678e+02
17,10,60,1.083678e+02
17,10,70,1.083678e+02
17,10,80,1.083678e+02
17,10,90,1.083678e+02
17,10,100,1.083678e+02
17,10,1,2.515498e+02
17,10,2,2.515498e+02
17,10,3,2.515498e+02
17,10,5,1.332624e+02
17,10,10,1.332624e+02
17,10,20,1.332624e+02
17,10,30,1.083678e+02
17,10,40,1.083678e+02
17,10,50,1.083678e+02
17,10,60,1.083678e+02
17,10,70,1.083678e+02
17,10,80,1.083678e+02
17,10,90,1.083678e+02
17,10,100,1.083678e+02
17,10,1,2.515498e+02
17,10,2,2.515498e+02
17,10,3,2.515498e+02
17,10,5,1.332624e+02
17,10,10,1.332624e+02
17,10,20,1.332624e+02
17,10,30,1.083678e+02
17,10,40,1.083678e+02
17,10,50,1.083678e+02
17,10,60,1.083678e+02
17,10,70,1.083678e+02
17,10,80,1.083678e+02
17,10,90,1.083678e+02
17,10,100,1.083678e+02
