funcid,dim,milestone,error
1,10,1,1.005197e+10
1,10,2,1.005197e+10
1,10,3,8.741368e+09
1,10,5,8.049853e+09
1,10,10,5.744059e+09
1,10,20,2.060248e+09
1,10,30,2.060248e+09
1,10,40,2.060248e+09
1,10,50,2.060248e+09
1,10,60,2.060248e+09
1,10,70,2.060248e+09
1,10,80,2.060248e+09
1,10,90,2.060248e+09
1,10,100,2.060248e+09
1,10,1,1.385644e+10
1,10,2,1.385644e+10
1,10,3,7.827613e+09
1,10,5,7.827613e+09
1,10,10,7.827613e+09
1,10,20,4.832225e+09
1,10,30,4.832225e+09
1,10,40,4.832225e+09
1,10,50,4.832225e+09
1,10,60,4.411647e+09
1,10,70,4.411647e+09
1,10,80,4.411647e+09
1,10,90,4.076252e+09
1,10,100,4.076252e+09
1,10,1,1.421979e+10
1,10,2,8.925374e+09
1,10,3,8.781834e+09
1,10,5,8.781834e+09
1,10,10,7.200680e+09
1,10,20,7.144610e+09
1,10,30,4.046303e+09
1,10,40,3.874307e+09
1,10,50,3.874307e+09
1,10,60,3.874307e+09
1,10,70,3.874307e+09
1,10,80,3.874307e+09
1,10,90,3.874307e+09
1,10,100,3.874307e+09
1,10,1,1.237476e+10
1,10,2,9.994538e+09
1,10,3,9.994538e+09
1,10,5,7.011528e+09
1,10,10,7.011528e+09
1,10,20,5.315708e+09
1,10,30,1.863027e+09
1,10,40,1.863027e+09
1,10,50,1.863027e+09
1,10,60,1.863027e+09
1,10,70,1.863027e+09
1,10,80,1.863027e+09
1,10,90,1.863027e+09
1,10,100,1.863027e+09
1,10,1,1.016464e+10
1,10,2,8.332449e+09
1,10,3,8.332449e+09
1,10,5,8.332449e+09
1,10,10,5.982417e+09
1,10,20,5.797817e+09
1,10,30,4.026967e+09
1,10,40,4.026967e+09
1,10,50,2.710648e+09
1,10,60,2.710648e+09
1,10,70,2.710648e+09
1,10,80,2.710648e+09
1,10,90,2.710648e+09
1,10,100,2.710648e+09
1,10,1,1.166464e+10
1,10,2,1.166464e+10
1,10,3,1.166464e+10
1,10,5,1.166464e+10
1,10,10,4.916922e+09
1,10,20,4.916922e+09
1,10,30,4.916922e+09
1,10,40,4.916922e+09
1,10,50,4.916922e+09
1,10,60,4.916922e+09
1,10,70,4.916922e+09
1,10,80,4.370502e+09
1,10,90,4.370502e+09
1,10,100,4.370502e+09
1,10,1,7.567127e+09
1,10,2,6.662940e+09
1,10,3,6.662940e+09
1,10,5,6.662940e+09
1,10,10,6.662940e+09
1,10,20,5.887064e+09
1,10,30,5.887064e+09
1,10,40,2.778930e+09
1,10,50,1.803534e+09
1,10,60,1.803534e+09
1,10,70,1.803534e+09
1,10,80,1.803534e+09
1,10,90,1.803534e+09
1,10,100,1.803534e+09
1,10,1,1.191182e+10
1,10,2,8.768359e+09
1,10,3,4.619095e+09
1,10,5,4.619095e+09
1,10,10,4.619095e+09
1,10,20,4.619095e+09
1,10,30,4.619095e+09
1,10,40,4.310302e+09
1,10,50,4.310302e+09
1,10,60,4.310302e+09
1,10,70,4.310302e+09
1,10,80,4.310302e+09
1,10,90,4.310302e+09
1,10,100,4.310302e+09
1,10,1,2.129464e+09
1,10,2,2.129464e+09
1,10,3,2.129464e+09
1,10,5,2.129464e+09
1,10,10,2.129464e+09
1,10,20,2.129464e+09
1,10,30,2.129464e+09
1,10,40,2.129464e+09
1,10,50,2.129464e+09
1,10,60,2.129464e+09
1,10,70,2.129464e+09
1,10,80,2.129464e+09
1,10,90,2.129464e+09
1,10,100,2.129464e+09
1,10,1,9.868341e+09
1,10,2,8.213389e+09
1,10,3,8.213389e+09
1,10,5,8.213389e+09
1,10,10,5.043744e+09
1,10,20,5.043744e+09
1,10,30,4.849569e+09
